#共享	
OK	确定
Hurt8	双剑伤害
Hurt9	双刀伤害
Hurt10	刀剑伤害
Hurt11	弓箭伤害
Hurt	伤害
Weight	重量
Durability	耐久
Hardness	硬度
BaseEffect	特殊效果
AdditiveEffect	附加效果
InventoryTip	涂抹于武器之上
InventoryTip0	无法直接使用
InventoryTip2	只能战斗中使用
InventoryTip98	无法修炼此秘籍，因为有限定对象！
InventoryTip99	限定装备：
CharacterProperty50	气血
CharacterProperty51	气血上限
CharacterProperty52	内力
CharacterProperty53	内力上限
CharacterProperty54	精力
CharacterProperty55	精力上限
CharacterProperty58	体魄
CharacterProperty59	资质
CharacterProperty108	金钱
CharacterProperty109	狂狷
CharacterProperty110	道德
CharacterProperty111	江湖声望
CharacterProperty112	阴阳
CharacterProperty196	暴击
CharacterProperty197	卸劲
CharacterProperty198	连击
CharacterProperty199	反击
CharacterProperty200	虚招
CharacterProperty301	搏击
CharacterProperty302	剑法
CharacterProperty303	刀法
CharacterProperty304	枪棍
CharacterProperty305	暗器
CharacterProperty306	短兵
CharacterProperty307	医术
CharacterProperty308	毒术
CharacterProperty309	内功
CharacterProperty310	轻功
CharacterProperty321	药草学
CharacterProperty322	矿物学
CharacterProperty323	窃盗学
CharacterProperty324	商务学
CharacterProperty400	内伤
CharacterProperty401	外伤
CharacterProperty402	中毒
CharacterProperty403	封穴
CharacterProperty404	迷惑
CharacterProperty405	晕眩
CharacterProperty406	分筋
CharacterProperty407	错骨
CharacterProperty408	散功
CharacterProperty409	冰封
CharacterProperty410	醉意
#阴阳	
YinAndYang0	至阴
YinAndYang1	少阴
YinAndYang2	
YinAndYang3	少阳
YinAndYang4	至阳
#感悟	
TalentType0	动
TalentType1	静
TalentType2	刚
TalentType3	柔
TalentType4	巧
TalentType5	拙
#区域	
Area0	江湖散人
Area1	拱石村
Area2	漱玉矶
Area3	大研镇
Area4	鹰猎人聚落
Area5	擎天寨
Area6	一世富贵酒庄
Area7	丈人村
Area8	西川都司
Area9	青城派
Area10	赤丹宫
Area11	石家庄
Area12	太华门
Area13	豹王寨
Area14	白马居
Area15	藏花草棚
Area16	南诏段氏
Area17	箐寨
Area18	禾家马帮
Area19	叶家马帮
Area20	噶玛寺
Area21	野兽
Area22	俏梦阁
Area23	迷魂水寨
Area24	赋闲书院
Area25	天龙寺
Area26	珍馐会
Area27	狼蛮族
Area28	金石谷
Area29	蔘王山
Area30	百兽庄
Area31	猎物
Area32	家畜
Area101	铁匠铺
Area102	旅店
Area103	当铺
Area104	毛皮店
Area105	肉铺
Area106	杂货店
Area107	药铺
Area108	蔬菜铺
Area109	水果铺
Area110	鱼铺
Area111	樵夫联盟
Area112	布庄
Area113	食品店
Area114	酒楼
Area115	玉坊
ArrivalEndOfWorld	前方区域未开放 请回头
#传言	
HearsayNoneArea	江湖上
HearsayAreaUnit	的
#队伍	
RemoveTeammateTitle	剔除队友
RemoveTeammate	是否剔除队友｢{0}」
TeamFull	队伍已满
GetExp	{0} 获得 {1} 点经验
#交易	
StoreNoItemTransaction	你得选择物品，我们才能交易喔。
StorePlayerMoneyLacking	你钱不够喔。
StorePlayerTotalPriceLow	你提供的物品价值太低，我不愿跟你交换。
StoreNpcMoneyLacking	我身上没这么多钱...
StorePlayerNoFavarites	看来你身上没有我想要的东西。
StoreNpcFavoriteHaveMoney	我喜欢金钱，你可以用金钱补差价。
StoreNpcDontWant	这东西我不需要，请选别的吧。
#传闻	
RumorNothing1	嗯，一路走来风平浪静，沿途欣赏风景，倒也不坏！
RumorNothing2	嗯，一路走来风平浪静，沿途欣赏风景，倒也不坏！
RumorNothing3	嗯，一路走来风平浪静，沿途欣赏风景，倒也不坏！
RumorNothing4	嗯，一路走来风平浪静，沿途欣赏风景，倒也不坏！
RumorNothing5	嗯，一路走来风平浪静，沿途欣赏风景，倒也不坏！
#锻造	
HurtRang	{0}~{1}%
BluePrintType1	搏击兵器
BluePrintType2	剑
BluePrintType3	刀
BluePrintType4	枪棍
BluePrintType5	短兵
BluePrintType6	箭器
BluePrintType7	防具
EquipPartType0	身
EquipPartType1	格
EquipPartType2	柄
EquipPartType3	环
EquipPartType4	头
EquipPartType5	缨
EquipPartType6	杆
EquipPartType7	尾
EquipPartType8	衬
EquipPartType9	面
EquipPartType10	骨
EquipPartType11	弦
EquipPartType12	矢
EquipPartType13	弓
EquipPartType14	涂毒
EquipPartType15	投炉
BaseProperty	基本属性
ForgeProperty	特殊效果
InventoryType301	拳谱
InventoryType302	剑法
InventoryType303	刀法
InventoryType304	枪术
InventoryType305	暗器
InventoryType306	短兵
InventoryType307	内功
InventoryType308	轻功
InventoryType309	医书
InventoryType310	毒经
InventoryType318	其他
InventoryType701	矿石
InventoryType702	木材
InventoryType703	投炉
InventoryType704	皮革
InventoryType705	丝
InventoryType706	筋
InventoryType707	火药
InventoryType708	黑血蛛毒
InventoryType709	断魂蜈蚣毒
InventoryType710	蝮蛇剧毒
InventoryType711	烈蝎毒
EffectLevel1	轻度
EffectLevel2	中度
EffectLevel3	高度
AchievementMode0	单一游戏制
AchievementMode1	总体累计制
AchievementType0	一般
AchievementType1	战斗
AchievementType2	剧情
AchievementType3	武学
AchievementType4	能力
AchievementType5	声望
AchievementType6	收藏
#游戏难度	
GameDifficulty0	简单
GameDifficulty1	普通
GameDifficulty2	困难
GameDifficulty3	炼狱
DifficultyDetails	详细说明
DifficultyWarning0	目前选择的游戏难易度为<color=#ff2222>炼狱</color>等级，部分游戏内容会有些不同：
DifficultyWarning1	
DifficultyWarning2	<color=#FFE829>˙战斗数值调整</color>：己方单位的战力会<color=#ff2222>削弱</color>，而敌方单位的战力会<color=#ff2222>增强</color>。
DifficultyWarning3	<color=#FFE829>˙战斗机制新增</color>：<color=#22FF22>己方势力(绿色)</color>任何单位<color=#ff2222>死亡</color>会导致<color=#ff2222>战斗失败</color>。
DifficultyWarning4	<color=#FFE829>˙战斗规则变化</color>：部分战役的<color=#ff2222>胜利条件</color>可能会有所改变，如友军保卫战等。
DifficultyWarning5	<color=#FFE829>˙兽王册调整</color>：兽王初始参战回合数提升。
DifficultyWarning6	
DifficultyWarning7	点选下方<color=#ff2222>详细说明</color>按钮，或打开<color=#ff2222>帮助页面</color>，可以看到更多难易度相关的解说，
DifficultyWarning8	若想更换其他难易度的玩家，请<color=#ff2222>重做问卷</color>选择其他难易度来进行游玩，
DifficultyWarning9	祝您旅途愉快！
#按键提示对应	
KeyName_UpArrow	↑
KeyName_DownArrow	↓
KeyName_LeftArrow	←
KeyName_RightArrow	→
KeyName_Arrow	↑/↓/←/→
KeyName_NumberArrow	数字键盘方向
KeyName_Alpha0	0
KeyName_Alpha1	1
KeyName_Alpha2	2
KeyName_Alpha3	3
KeyName_Alpha4	4
KeyName_Alpha5	5
KeyName_Alpha6	6
KeyName_Alpha7	7
KeyName_Alpha8	8
KeyName_Alpha9	9
KeyName_BackQuote	~
KeyName_Minus	-
KeyName_Equals	=
KeyName_Backslash	\
KeyName_LeftBracket	[
KeyName_RightBracket	]
KeyName_Semicolon	;
KeyName_Quote	'
KeyName_Comma	,
KeyName_Period	.
KeyName_LBRB	< / >
KeyName_Slash	/
KeyName_Escape	ESC
KeyName_LeftControl	LeftCtrl
KeyName_RightControl	RightCtrl
KeyName_LeftAnalogPress	左模拟游戏杆
KeyName_RightAnalogPress	右模拟游戏杆
KeyName_JoystickButton0	A
KeyName_JoystickButton1	B
KeyName_JoystickButton2	X
KeyName_JoystickButton3	Y
KeyName_JoystickButton4	LB
KeyName_JoystickButton5	RB
KeyDesc_Up	上/移动
KeyDesc_Down	下/移动
KeyDesc_Left	左/移动
KeyDesc_Right	右/移动
KeyDesc_Arrow	方向移动
KeyDesc_Confrim	确认
KeyDesc_Cancel	取消
KeyDesc_NumberUp	上/切换区块
KeyDesc_NumberDown	下/切换区块
KeyDesc_NumberLeft	左/切换区块
KeyDesc_NumberRight	右/切换区块
KeyDesc_NumberArrow	区块切换
KeyDesc_LB	左/切换页签
KeyDesc_RB	右/切换页签
KeyDesc_LBRB	切换页签
KeyDesc_LT	放大/拉近
KeyDesc_RT	缩小/拉远
KeyDesc_DpadUp	上箭头键
KeyDesc_DpadDown	下箭头键
KeyDesc_DpadLeft	左箭头键
KeyDesc_DpadRight	右箭头键
KeyDesc_Main	信息页面
KeyDesc_Team	物品界面
KeyDesc_Skill	武学界面
KeyDesc_Talent	感悟界面
KeyDesc_Map	任务接口
KeyDesc_Alchemy	配方界面
KeyDesc_Achievement	成就界面
KeyDesc_System	系统选单
KeyDesc_SaveGame	自动存档
KeyDesc_X	踢除队友
KeyDesc_Y	整理背包
KeyDesc_ShowHerb	显示采集物
KeyDesc_MouseLeft	确定/选取
KeyDesc_MouseRight	取消
KeyDesc_MouseMiddle	调整远近/上下滚动
KeyDesc_LeftAnalogPress	左模拟游戏杆
KeyDesc_RightAnalogPress	重置摄影机
KeyDesc_AddSpeed	冲刺
KeyDesc_Jump	跳跃
KeyDesc_AutoRun	自动跑步
KeyDesc_Steal	暗取
KeyDesc_Ambush	切磋
KeyDesc_SkillShortcut1	技能快捷键1
KeyDesc_SkillShortcut2	技能快捷键2
KeyDesc_SkillShortcut3	技能快捷键3
KeyDesc_SkillShortcut4	技能快捷键4
KeyDesc_SkillShortcut5	技能快捷键5
KeyDesc_SkillShortcut6	技能快捷键6
KeyDesc_OpenInventory	开启战斗背包
KeyDesc_OpenLearnedSkill	开启战斗技能
KeyDesc_BattleRest	战斗休息
KeyDesc_BattleWaiting	战斗等待
KeyDesc_ScreenShot	撷取屏幕
KeyDesc_ShowCursor	显示鼠标
#游戏提示	
GameHint1	在主选单、ESC选单及角色属性接口右上角的问号钮，都可以找到游戏百科，方便查询游戏讯息。
GameHint2	在野外探索时，按V键可以帮助你快速寻找矿石或是药草。
GameHint3	战斗时，点击左上小头像可以开启角色战斗讯息接口，了解更多该角色的细部信息。
GameHint4	战斗时，点击左上小头像可以听到该角色的语音对话还可以开启角色战斗讯息接口，了解更多该角色的细部信息。
GameHint5	任务的难度分为简单(白色)、普通(橘色)、困难(红色)三级，尽量选择适合自己能力的任务来进行。
GameHint6	角色可以装备一把主武器和一把副武器，利用不同武器的特色来取得战斗的优势。
GameHint7	每个角色可装备的负重上限不同，若超过负重最大值会使角色行动力降低。
GameHint8	有些任务会有在地图上有位置的提示，方便玩家辨别。
GameHint9	您可以依照喜好或习惯，在设定中选择使用小地图或是方位条来进行定位辅助。
GameHint10	在主选单、ESC选单及角色属性接口右上角的问号钮，都可以找到游戏百科，方便您查询游戏讯息。
GameHint11	武器与装备的耐久度会影响攻击与防御的数值，可以找铁匠帮忙修理装备。
GameHint12	不需要的武器和防具，可以贩卖给商人换取银两，也能找铁匠拆解成少量的锻造素材。
GameHint13	学习医术能将野外采摘的药草提炼为丹药，强化恢复的效果。
GameHint14	马夫可以将玩家快速送达目的地，不过必须是您曾经去过的地方。
GameHint15	商人有营业项目的差异，您无法向商人交易他们不喜欢的物品类型。
GameHint16	若卡在异处无法脱身，不妨先按下两次ESC开关主选单，再看看结果。
GameHint17	反击并不会消耗精力，但会消耗更多内力。
GameHint18	战斗时如果内力不够，威力将会降低许多。
GameHint19	战斗时按Alt键可显示目标物与光标之间的距离，方便移动时决定走到的位置。
GameHint20	玩家角色性格的变化，会影响队友之间的互动，也可能改变队友一同冒险的意愿。
GameHint21	靠近NPC时长按F键，可以暗取其身上的物品，不过要小心被发现。
GameHint22	在野外探索时，请随时保持良好的战斗准备，并留意敌人的强度。
GameHint23	使用稀有度越高的材料进行锻造，可以打造出较好的武器与防具。
GameHint24	河洛世界中有许多事物等待玩家去探索，请多留意周遭可以互动的项目。
GameHint25	学习烹饪技术可以料理食材，做出美味的食物，食用后可以获得暂时性的增益效果。
GameHint26	您可以依照游戏习惯，在环境设定的操作分页中选择是否使用「视角自动跟随鼠标」的模式来进行游戏。
#任务	
QuestStep	任务步骤
QuestDescTitle	任务描述
#存读档	
Save	储存
Load	读取
Saving	储存中
Loading	读取中
LoadWhenModDifferent	存盘所使用模块 {0} 与当前模块 {1} 不同！
Deleting	正在通往主选单的道路上
NoFile	没有已储存的进度
SaveTypeFast	快速存档
SaveTypeAuto	自动存档
SaveTypeManual	存档{0}
TotalPlayTime	总游戏时间
DayFromBeginning	第{0}天
LoadFile	是否要读取{0}？
OverwriteFile	是否覆盖此存盘记录？
SaveGameMessage	已存档
LevelLabel	级
Delete	删除存档
DeleteFile	是否要删除此存盘记录？
LoadingCreatePlayer	少年横空
LoadingCreateScene	信步山河
LoadingCreateNpc	眺彼红尘
LoadingCreateEventCube	弹剑作歌
LoadingEndState	花径不曾缘客扫，蓬门今使为君开。
#UI系列	
InventoryType1	武器
InventoryType2	防具
InventoryType3	武学秘籍
InventoryType4	丹药
InventoryType5	毒物
InventoryType6	食物
InventoryType7	锻造材料
InventoryType8	杂物
InventoryType1001	丹药食物
InventoryType1002	采集物品
InventoryType1003	其它
InventoryType1004	装备
UIInventoryType101	拳套
UIInventoryType102	剑类
UIInventoryType103	刀类
UIInventoryType104	枪棍
UIInventoryType105	暗器弓箭
UIInventoryType106	短兵
UIInventoryType201	护甲
UIInventoryType202	饰品
UIInventoryType203	外衣
UIInventoryType301	丹药
UIInventoryType302	药材
UIInventoryType303	食物
UIInventoryType304	食材
UIInventoryType401	毒物
UIInventoryType402	锻造材料
UIInventoryType403	淬炼材料
UIInventoryType404	毛皮
UIInventoryType501	搏击
UIInventoryType502	剑法
UIInventoryType503	刀法
UIInventoryType504	棍法
UIInventoryType505	暗器弓箭
UIInventoryType506	短兵
UIInventoryType507	心法
UIInventoryType508	其它
UIInventoryType601	任务道具
UIInventoryType602	杂货
#说明分类	
HelpCatalogType1	游戏说明
HelpCatalogType101	操作方法
HelpCatalogType102	游戏时间
HelpCatalogType103	互动
HelpCatalogType104	便利功能
HelpCatalogType105	队友
HelpCatalogType106	交易
HelpCatalogType107	成就
HelpCatalogType108	配方
HelpCatalogType109	游戏难度
HelpCatalogType110	江湖传言
HelpCatalogType2	角色
HelpCatalogType201	一般属性
HelpCatalogType202	武学属性
HelpCatalogType203	负面属性
HelpCatalogType204	装备
HelpCatalogType205	称号
HelpCatalogType3	武学
HelpCatalogType301	武学说明
HelpCatalogType302	秘籍
HelpCatalogType303	技能类型
HelpCatalogType304	技能信息
HelpCatalogType4	感悟
HelpCatalogType401	感悟说明
HelpCatalogType402	感悟分类
HelpCatalogType5	任务地图
HelpCatalogType501	地图
HelpCatalogType502	任务
HelpCatalogType503	传送
HelpCatalogType504	定位辅助
HelpCatalogType6	战斗
HelpCatalogType601	战斗说明
HelpCatalogType602	特技值
HelpCatalogType603	减益状态
HelpCatalogType604	战斗辅助
HelpCatalogType7	锻造系统
HelpCatalogType701	锻造
HelpCatalogType702	淬炼
HelpCatalogType703	修理
HelpCatalogType704	拆解
HelpCatalogType705	重锻
HelpCatalogType8	道具
HelpCatalogType801	武器
HelpCatalogType802	防具
HelpCatalogType803	丹药与食物
HelpCatalogType804	毒物
HelpCatalogType805	锻造/淬炼材料
HelpCatalogType806	其它物品
#接口名称	
UICompass	方位条
UIMinimap	小地图
UITrackedQuest	任务追踪
#创角界面	
UICreateEnterText	在进入河洛群侠传这个世界之前，有些问题需要请您回答！<br>你准备好了吗？
UICreateClickToContinue	点击以继续
UICreateQuestNo	问题
UICreateInvestigateTitle	请无视现实，选择您内心深处最深切的期盼
UICreateNext	下一页
UICreateError1	尚有未作答的字段
UICreateRenameTitle	最后，请替您自己在这个武侠世界取一个响叮当的名字
UICreateNameText	姓名
UICreateIllegalName	姓名含有非法字符串！
UICreateAnalyzeTitle	分析中......
UICreateRename	重新取名
UICreateReinvestigate	重做问卷
UICreateRandomProperty	重骰数值
UICreateStartGame	开始游戏
UICreateMessage01	重做问卷会重新分析您的特质，给予您合适的结果，确定要放弃当前结果吗？
UICreateMessage02	是否要以<color=#3174F8>{0}</color>的身分进入河洛世界展开冒险吗？
UICreateMessage03	此名称已经被其他玩家使用过了！
#Main界面	
UIMainTabInventory	物品
UIMainTabSkill	武学
UIMainTabTalent	感悟
UIMainTabQuestMap	任务
UIMainTabAlchemy	配方
UIMainTabRest	休息
UIMainTabAchievement	成就
#队伍接口(物品接口)	
UITeamLevelLabel	等级
UITeamExpLabel	经验
UITeamNoNickname	无称号
UITeamWeightLabel	装备总重
UITeamEquipColumn0	主手武器
UITeamEquipColumn1	副手武器
UITeamEquipColumn2	护甲
UITeamEquipColumn3	饰品
UITeamEquipColumn4	外衣
UITeamPersonality1	人格
UITeamPersonality2	邪
UITeamPersonality3	正
UITeamPersonality4	狷
UITeamPersonality5	狂
UITeamPersonality6	阴
UITeamPersonality7	阳
UITeamSkillProperty	武学
UITeamTalentName	感悟
UITeamResidual	剩余 {0} 时
UITeamDuration	持续 {0} 时
#炼金接口(生产接口)	
UIAlchemyTabDrug	炼丹
UIAlchemyTabPoison	毒术
UIAlchemyTabCook	烹饪
UIAlchemyTabForge	锻造
UIAlchemyButtonDrug	炼丹开始
UIAlchemyButtonPoison	制毒开始
UIAlchemyButtonCook1	烹饪开始
UIAlchemyButtonCook2	请找烹饪大师制作
UIAlchemyButtonForge1	锻造开始
UIAlchemyButtonForge2	请找锻造大师制作
UIAlchemyEffectTitle1	食用效果
UIAlchemyEffectTitle2	使用效果
UIAlchemyEffectTitle3	伤害效果
UIAlchemyTip1	完成
UIAlchemyNotEnough	材料不足
UIAlchemyMaterialTitle	材料需求
UIAlchemyNoEffect	无效果
#方位条界面	
UICompassDirection1	东
UICompassDirection2	西
UICompassDirection3	南
UICompassDirection4	北
DirectionUnit	方
AreaNone	野外地区
AreaNear	附近
#休息界面	
UIRestTimeTitle	现在时间
UIRestRestTitle	休息时间
UIRestRestUnit	小时
UIRestDialogTitle	休息
UIRestDialog	要休息 {0} 小时到 {1} 吗？
UIRestDialogError	可提供休息的道具数量不足！
#地图接口(任务接口)	
UIQuestMapTab0	进行中主线
UIQuestMapTab1	进行中支线
UIQuestMapTab2	已完成任务
UIQuestMapTab3	失败的任务
UIQuestMapCellNew	新
#传送界面	
UITransferTitle	传送
UITransferMessage	是否传送至
#系统接口	
UISystemContinue	继续游戏
UISystemSave	储存游戏
UISystemLoad	读取游戏
UISystemEnvironment	环境设定
UISystemKeys	按键设定
UISystemEscape	卡点脱逃
UISystemAchievement	成就列表
UISystemReturn	回主选单
UISystemExit	离开游戏
UISystemHelp	游戏百科
UITitleNewGame	初入武林
UITitleLoad	再战江湖
UITitleMod	模块选择
UITitleModText	目前模块 : 河洛群侠传
UIModTitle	模块
#环境设定接口	
UISettingTitle	环境设定
SettingGroup0	视讯
SettingGroup1	音效
SettingGroup2	操作
SettingGroup3	游戏
SettingGroup4	3D Vision
UISettingWindow	画面设定
UISettingWindowState	画面模式
UISettingWindowState0	全屏幕
UISettingWindowState1	窗口化
UISettingWindowSize	分辨率
UIGraphicsSettingGeneral	一般设定
UIGraphicsSettingPlayerIK	主角贴合地板
UIGraphicsSettingCullingDistanceMultiplier	物件可见距离
UIGraphicsSettingShadowEnabled	阴影
UIGraphicsSettingShadowDistance	阴影距离
UIGraphicsSettingVSync	垂直同步
UIGraphicsSettingSkyDomeSetting	天空
UIGraphicsSettingVolumeLighting	光束
UIGraphicsSettingGlobalParticleEmissionRates	粒子密度
UIGraphicsSettingAmbientQuality	环境光质量
UIGraphicsSettingCloudsQuality	云层品质
UIGraphicsSettingResolution	体积光分辨率
UIGraphicsSettingPostProcessingSetting	画面效果
UIGraphicsSettingOcclusion	环境光遮蔽
UIGraphicsSettingBeautify	色差
UIGraphicsSettingLensDirt	镜头眩光
UIGraphicsSettingScreenSpaceShadow	阴影增强
UIGraphicsSettingBloom	高光
UIGraphicsSettingEyeAdaptation	光线适应
UIGraphicsSettingAntiAliasing	反锯齿
UIGraphicsSettingPostProcessVolume	动态模糊
UIGraphicsSettingPerspectiveCamera	深度摄影机
UIGraphicsSettingVegetationSetting	植被
UIGraphicsSettingPackage	品质
UIGraphicsSettingVisibleDistance	可见距离
UIGraphicsSettingFarVegetations	远方植被
UIGraphicsSettingDensity	密度
UIGraphicsSettingTreeDensity	树木密度
UIGraphicsSettingLevel	画面质量
UIGraphicsSettingLevelFastest	最快速
UIGraphicsSettingLevelFast	快速
UIGraphicsSettingLevelSimple	基本
UIGraphicsSettingLevelGood	好
UIGraphicsSettingLevelBeautiful	质量优先
UIGraphicsSettingLevelFantastic	全开
UIGraphicsSettingLevelCustom	自定义
UIGraphicsSettingVolumtericResolutionFull	高
UIGraphicsSettingVolumtericResolutionHalf	中
UIGraphicsSettingVolumtericResolutionQuarter	低
UIGraphicsSettingVegetationPackageHigh	高
UIGraphicsSettingVegetationPackageMid	中
UIGraphicsSettingVegetationPackageLow	低
UIGraphicsSettingBinaryQualityLow	低
UIGraphicsSettingBinaryQualityHigh	高
UIGraphicsSettingAntiAliasingNone	关闭
UIGraphicsSettingAntiAliasingLow	低
UIGraphicsSettingAntiAliasingHigh	高
UIGraphicsSettingSaveNotice	此设定必须重新启动游戏后才会生效
UISettingME	音效
UISettingBGM	背景音乐
UISettingAmbient	环境音乐
UISettingVoice	语音
UISettingVolume	音量
UISettingUI	界面
UISettingTalk	对话语音
UISettingFootStep	脚步音效
UISettingSwitch	开关
UISettingMapPlayerPosition	显示角色当前坐标
UISettingMapQuestIcon	显示任务位置标示
UISettingMsg1	是否要储存当前{0}设置？
UISettingMsg2	是否要舍弃当前{0}设置，回到预设的设定？
UICameraSetting	摄影机操作
UICameraSettingSpeed	视角移动速度
UICameraSettingHorizontal	移动视角水平相反
UICameraSettingVertical	移动视角垂直相反
UICameraSettingFollowCursor	视角自动跟随鼠标
UIDelayLoading	地图及人物延迟载入
#热键设定接口	
UIHotkeyTitle	按键设定
UIHotkeyDefault	回复预设
UIHotkeySave	套用
UIHotkeyInputMode1	键盘设置
UIHotkeyInputMode2	手把设置
UIHotkeyNormalGroup	移动键/操作键
UIHotkeyFunctionGroup	功能键
UIHotkeyUIGroup	界面快捷键
UIHotkeyBattleGroup	战斗快捷键
UIHotkeyHintText	请按下想要更换的按键
UIHotkeyHintSuccess	按键更换成功
UIHotkeyHintFailed0	不允许更换鼠标按键配置
UIHotkeyHintFailed1	按键已被定义特殊用途，请设定其他的键
UIHotkeyHintExchange	按键<color=#3174F8>{0}</color>已被设定为<color=#ff2222>{1}</color>，是否要互换按键设定？
UIHotkeyMsg1	是否要储存当前按键设置？
UIHotkeyMsg2	是否舍弃当前按键设置，回到默认的按键设置？
#交易接口	
UIStoreTransactionTitle	交易物品
UIStoreChangeTitle	交换物品
UIStoreMoneyHave	所持金额：
UIStoreTransaction	确认交易
UIStoreChange	确定交换
#技能界面(武学)	
UISkillBookExp	经验点数
UISkillRemovebook	卸下
UISkillBookExpert	精通
UISkillLearnSkill	修练武功
UISkillLearningBook	修炼
UISkillWorkingSkill	运行
UISkillPropertyTitle	属性
UISkillTreeNodeState1	修练中
UISkillTreeNodeState2	运行中
UISkillTreeNodeState3	反击中
UISkillNodeClickDialog	学习 {0} 将消耗 {1} 点技能经验值
UISkillConfirmButton	套用技能配置
UISkillUseNeigongButton	运行内功
UISkillLearnedSkill	已修练武功
UISkillCounterSkill	可装备的反击技
UISkillNeigongSkill	可运行的内功
UISkillInventoryFilterButton	筛选
UISkillInventoryFilter	秘籍显示分类
UISKillInventoryAllChoose	全选
UISkillExpDistributeTip1	获得的经验值会依照一定比例分配给秘籍，比例若调高，角色会获得较少的成长经验值，但可获得较多的秘籍经验点数。
UISkillExpDistributeTip2	(效果套用于全部队友)
UISkillTransfer	转换秘籍经验
UISkillTransferExp	是否要将{0}点秘籍经验转换为角色经验？
UISkillTransferNoExp	此秘籍没有经验点数可以转换
#天赋接口(感悟接口)	
UITalentConfirmButton	套用天赋配置
UITalentNodeClickDialog	精通 {0} 将消耗 {1} 点感悟点数
TalentTipNeedPoint	需求感悟点
TalentTipPCondition	需求属性
TalentTipTCondition	需求感悟
TalentTipBuffer	感悟特效
#追踪的任务接口	
UITrackedQuestTitle	当前没有追踪的任务
#称号界面	
UINicknameTitle1	称号
UINicknameTitle2	称号描述
UINicknameTitle3	装备效果
UINicknameNotEffect	没有效果
UINicknameConfirm	装备称号
UINicknameEquipping	装备中
#锻造界面	
UIBlacksmithTabForge	锻造
UIBlacksmithTabQuench	淬炼
