#ID	分类	Icon路径	细项标题	细项说明文字
h10502	105		队友加入	部分队友在剧情中会加入玩家的队伍之中，完成剧情之后，玩家可以选择继续与之为伍，或是另寻其他伙伴加入。
h10503	105		队友踢除	若玩家想要将队友从队伍中踢除，可以在接口中（默认Tab）选择队友，并按下踢除（预设Q）键将队友请离队伍，该名队友则会回到特定地区等待玩家再次组队。部分剧情中无法踢除队友，必须完成系列任务后才能执行此操作。
h10504	105		队友离开	每位队友有自我意识和个性，若玩家作风与队友的风格差异太大，该名队友可能会不愿与玩家为伍，自动离开玩家的队伍。
h10505	105		队友上限	扣除主角不计，简单与普通模式的队友人数上限为三个，困难模式下会多增加第四位可同行队友的字段，而炼狱模式下最多可以与五位队友共同冒险。
h10601	106		交易	部分村庄中的NPC可以与玩家交易，贩卖物品给玩家，或是向玩家收购特定物品，行走江湖需要盘缠时，不妨可以拿不需要的物品去换成银两。
h10602	106		商人喜好	商人会有喜欢与不喜欢的物品，商人不喜欢的物品，即便是价值连城，商人也不愿意与玩家交易。
h10603	106		以物易物	部分商人或NPC视钱财如粪土，此时玩家无法用银两交易，不妨可以拿价值相当的物品去做交换。
h10604	106		商人补货	商人与玩家交易物品之后，一段时间之后会进行补货与补钱，只要过几天之后再来拜访，他们会补给物品来贩卖给玩家。
h10701	107		成就系统	游戏中含有许多值得探索的部分，成就系统提供玩家明确的目标，让玩家体验剧情之余，也可以朝向成就目标去达成。部分成就有时间上的限制，必须在规定时间内完成才能达成，但奖励也会相对丰富。
h10702	107		游戏内成就	游戏内含有许多成就，但这些成就只属于单个存盘内可以完成，若开始新冒险则会重新统计。
h10703	107		游戏外成就	除了游戏内有的成就，游戏外也有成就，多半是属于累计型的成就，可以当作玩家冒险的里程碑。
h10704	107		成就分类	成就内容非常多元，包含一般、战斗、剧情、武学、能力、声望与搜集七个分类，玩家不妨可以多多探索其中的奥秘。
h10705	107		达成奖励	玩家如果达成游戏内的成就，可以在主选单中（预设Tab）或是使用快捷键（预设N）来查看成就，许多成就含有丰厚的报酬让玩家领取，让玩家更顺利地冒险。
h10706	107		隐藏成就	游戏接口上的成就并非是所有的成就，部分成就必须等到玩家达成之后才会显示，玩家不妨可以多多探索。
h10801	108		制作配方	游戏中有些简易的制作配方可以学习，如炼丹、制毒、烹饪等等，玩家可以将一些材料制作为效果更好的物品，可以在主选单（预设Tab）中或使用快捷键（预设H）中查看学会的配方。
h10802	108	Alchemy/Img_Drug_Tab.png	炼丹	炼丹术可以将野外采集而来的药草材料提炼成丹药，使药材的恢复效果更加，玩家可以从医书中习得配方，也能从部分任务中习得炼丹术。
h10803	108	Alchemy/Img_Poison_Tab.png	毒术	制毒法可以将野外捕捉而来的毒物加工炼制，在部分武功修炼时需要消耗这些毒物，若不谙毒术，徒手捕捉野外的毒虫可能会导致中毒。
h10804	108	Alchemy/Img_Cook_Tab.png	烹饪	烹饪技巧可以将食材料理成美味的菜肴，食用料理能让玩家获得短暂的增益效果，许多菜肴的食谱藏于民间，玩家不妨可以与NPC多多交流来习得。
h10901	109		游戏难度	在创造角色的问卷中，可以选择游戏难度，游戏内容会因为选择的难度不同而有所变化。
h10902	109		<color=#00FF00>简单</color>	简单模式适合初入江湖的玩家，玩家在战斗中的能力占有相对优势，我方单位的攻击与防御会大幅度增强，并削弱敌方单位的攻防能力。
h10903	109		<color=#29A6FF>普通</color>	普通模式适合较为上手的玩家，玩家与敌方在战斗中的能力采用原始设定。
h10904	109		<color=#FF8000>困难</color>	困难模式适合熟练游戏玩法的玩家，敌方在战斗中的能力占有相对优势，我方单位的攻击与防御会减弱，并强化敌方单位的攻防能力。
h10905	109		<color=#FF0000>炼狱</color>	炼狱模式适合喜欢挑战的玩家，玩家在战斗中的的能力会被大幅度减弱，许多战斗的规则也可能改变，且战斗中我方单位死亡会导致战斗失败。
h10906	109		队友上限	扣除主角不计，简单与普通模式的队友人数上限为三个，困难模式下会多增加第四位可同行队友的字段，而炼狱模式下最多可以与五位队友共同冒险。
h10907	109		战斗限制	炼狱难度模式下的战斗会新增一条战斗限制，任一我方可控制战斗单位死亡就会判定玩家战斗失败。
h10908	109		战斗玩法	炼狱难度模式下的部分战斗玩法可能会改变，例如需要保护特定队友不能死亡的友军保卫战，或是改变某些战斗的胜利条件等等。
h10909	109		江湖传言	随着不同的游戏难易度，江湖传言事件的类型与发生条件也不尽相同，或许还能遇到特定难度下才有的特殊江湖事件。
h10910	109		NPC切磋	困难与炼狱难度模式下的部分NPC，玩家可以对其提出切磋要求（预设为G键），玩家会与NPC进行一对一切磋，切磋胜利时有一定的机率可以获得该NPC身上的物品，但一天只能对同一个NPC提出一次切磋要求。
h11001	110		江湖传言	河洛世界会随机发生不同的传言事件，玩家可藉由与NPC打听来获得传言相关讯息，去进行相对应的行动或任务，当然玩家也可以选择不予理会。
h11002	110		奇遇事件	伴随传言事件的发生，玩家可能会在河洛世界中遭遇特殊的奇遇事件，遇到特殊的角色，玩家可以与之互动而拿到特别的奖励等等。
h11003	110		成长事件	伴随传言事件的发生，玩家可以打听到一些江湖人士，在武学造诣上有所成长，或是悟出了新的感悟等等。
h11004	110		道具事件	伴随传言事件的发生，玩家可以打听到一些道具的信息，例如某人拿到了新的道具或是素材，抑或是失传以久的武功秘籍重现江湖，甚至有稀世神兵再现的消息。
h11005	110		其他事件	传言事件还有各式各样特殊的事件随机发生，玩家不妨可以常常向NPC打听江湖传言，掌握江湖的脉动，不要错过任何江湖事件的消息。
h20101	201	TeamInventory/Img_bag_list06.png	气血	影响角色在战斗中生存力的主要数值，归零的话则角色便会退场。
h20102	201	TeamInventory/Img_bag_list07.png	内力	角色施展所有技能招式所需消耗的能量，内力不足的时候将无法发挥技能招式的全部威力。
h20103	201	Team/Img_bag_ApIcon.png	精力	影响角色在战斗中的移动、行为与施展技能招式的重要数值，精力越高的角色在战斗中可以进行更多的行动。
h20104	201	TeamInventory/Img_bag_list01.png	资质	隐藏数值，影响玩家每场战斗中能获得的经验值。
h20105	201	TeamInventory/Img_bag_list07.png	体魄	隐藏数值，影响角色每次升级时提升的气血数值。
h20106	201		正邪值	决定玩家在这个世界立场与能否触发某些特殊条件事件的重要数值，玩家在这个世界进行各种行为都有可能会影响其发展。
h20107	201		狂狷值	决定玩家在这个世界立场与能否触发某些特殊条件事件的重要数值，玩家在这个世界进行各种行为都有可能会影响其发展。
h20108	201		阴阳值	玩家内功属性，影响招式伤害效果加成的重要数值，玩家可以经由修练内功秘籍改变阴阳值。如果内功是阳属性，搭配阳属性的招式进行攻击时将会有伤害加成的效果；反之，如果使用阴属性招式,则伤害效果会下降。
h20109	201		江湖声望	玩家在这个世界的知名度，也是触发某些特殊条件事件的重要参考数值。
h20201	202	SkillTree/Img_skill_HurtType1.png	搏击	角色使用拳掌武学的能力，数值越高能产生越强的威力加成。
h20202	202	SkillTree/Img_skill_HurtType2.png	剑法	角色使用剑法武学的能力，数值越高能产生越强的威力加成。
h20203	202	SkillTree/Img_skill_HurtType3.png	刀法	角色使用刀法武学的能力，数值越高能产生越强的威力加成。
h20204	202	SkillTree/Img_skill_HurtType4.png	枪棍	角色使用枪棍武学的能力，数值越高能产生越强的威力加成。
h20205	202	SkillTree/Img_skill_HurtType5.png	暗器	角色使用暗器武学的能力，数值越高能产生越强的威力加成。
h20206	202	SkillTree/Img_skill_HurtType6.png	短兵	角色使用短兵武学的能力，数值越高能产生越强的威力加成。
h20207	202	Team/Btn_team_add.png	医术	医术将会角色施展医术武学时的效果与加成，也会影响到一些游戏内事件的发生与走向。
h20208	202	Alchemy/Img_Poison_Tab.png	毒术	毒术将会角色施展毒术武学时的效果与加成，也会影响到一些游戏内事件的发生与走向。
h20209	202	SkillTree/Img_skill_Neigong.png	内功	内功是一切武学威力与减伤能力的基础，内功越高的角色在战斗中越具有优势。
h20210	202	SkillTree/Img_skill_Qinggong.png	轻功	轻功会影响角色在战斗中的出手排序、移动距离与相关武学感悟的加成效果，同时也会让玩家在大地图行走时更加迅速与有趣，轻功到达一定程度甚至可以施展水上飘。
h20301	203	Battle2/Img_buffer_Wounded.png	外伤	每回合损失气血，数值越高效果也越显著。
h20302	203	Battle2/Img_buffer_Injured.png	内伤	每次施展招式时都会损失气血，数值越高效果也越显著。
h20303	203	Battle2/Img_buffer_Poisoned.png	中毒	每回合损失内力，同时会降低角色的攻击力与减伤效果，超过50点时会降低每回合能回复的精力。
h20401	204	Team/Btn_team_01.png	主手/副手武器	玩家行走江湖所配戴的兵刃，需对应所学武学类型才能施展出各种强力的招式。
h20402	204	Team/Btn_team_02.png	防具	能提供角色在战斗中减伤与特殊效果的装备。
h20403	204	Team/Btn_team_03.png	饰品	能带来各种特殊效果的装饰物。
h20404	204	Team/Btn_team_09.png	外观	能改变主角外观的特殊服饰，有些对应阵营的服饰能触发特殊的事件或效果。
h20405	204	TeamInventory/Img_bag_list08.png	负重	负重影响角色可以装备的武器与防具总重量，负重过重时将会影响角色在战斗时的精力回复效果，体魄与内功越好的角色负重能力也越佳。
h20501	205		称号	玩家因为各种选择或事件所获得的头衔，一次只能装备一个，大多数的称号都有其不同的功能与特色。
h20502	205		主角专属称号	在游戏中得到的称号大多都只有主角能够装备，配合队友的特色与称号做出最好的称号选择也是一种有趣的战术。
h20503	205		角色专属称号	这世界存在着某些限定角色才能装备的称号，例如能加入的正邪线队友都拥有各自专属的称号，这些称号也通常都会反映他们的特质与个性。
h20504	205		装备专属称号	这世界存在着必须装备某些特定装备才能产生效果的称号，这些称号通常带来的战斗效益都非常的惊人。
h20505	205		正邪狂狷对应称号	这世界存在着因应正邪狂狷或江湖声望高低能产生不同效果的称号，这些称号通常得来不易也非常少见，带来的效果自然也相当惊人。
h20506	205		阵营友好称号	因为与特定阵营建立友好关系而得到的称号大多不需要装备也能发挥效果，例如各种商人阵营的称号不需要装备也能拥有打折的效果。
h20507	205		兽王称号	藉由驯服兽王而得到的兽王称号，装备后可以让你在战斗时携带一头想要的兽王参战，高阶的兽王将是非常强力的助手，在某些领域的表现上甚至比队友更加出色。
h30101	301		武学机制	这个世界拥有相当多的武学秘籍等待玩家来修练，每本武学所需的经验值都不尽相同，威力或效果越强的武学所需的经验值与感悟限制也越多，每个角色一次只能修练一本秘籍。
h30102	301		秘籍经验值	每个秘籍有着各自的经验值储存槽，彼此间无法互通，所以为了避免经验值溢出造成的损失，在每场战斗后实时检视秘籍修练的状况是必要的。
h30103	301		经验值分配	游戏内建的经验值分配是将所得经验值的25%分给所修习的武学，但玩家也可以用武学秘籍图标旁的调整光标改变分配的比例来控制秘籍修练的速度，同时也可以利用这个调整光标来减少秘籍经验值的溢出量。
h30201	302	Icon/fight.png	一般武学	拥有强大的武学是一个武林高手必备的基础，每种武学对应的效果、范围与感悟也不尽相同，好好的研究与挑选适合自己的武学是行走江湖最重要的一步。
h30202	302	Icon/it30714.png	内功武学	内功武学通常都有强大的被动效果，挑选最适合自己的内功武学好好修习吧！
h30203	302	Icon/it30807.png	轻功武学	大多数的轻功武学都没有能直接产生伤害的招式，但却能让玩家在战斗中更具有优势，同时它也能提高玩家轻功的基础数值，让玩家可以更轻松快速的在这个世界游历。
h30204	302	Icon/it307.png	限定武学	有些武学有限定专属角色才能修习，这些武学通常也都具有特殊的威力或是较高的故事性。
h30205	302	Icon/it308.png	特殊武学	有些武学能为你带来不同的战斗方式或体验，例如能驯服兽王为己所用的兽王册，或是能制造毒物或药品的毒书与医书。
h30301	303		主动技能	在战斗中玩家必须主动点选并消耗对应内力与精力的机能。
h30302	303		被动技能	在战斗中玩家不需要再额外消耗精力与内力即可产生效果的技能。
h30303	303		修为技能	增加玩家基础武学数值的技能，有永久提升与战斗中回合提升两种类型。
h30304	303		内功技能	提升玩家基础武学数值或是提共被动加成效果的技能。
h30305	303		反击技能	可以装备在反击武学栏中的技能，但需要修行静感悟或是拥有对应的反击能力才能发动反击。
h30401	304		技能名称	技能讯息的正上方会标示该技能的招式名称，以及源自哪一本武学秘籍。
h30402	304		伤害类型	技能讯息的右上角会标示之，表示需要装备对应的兵刃类型才能施展该武学。
h30403	304		修练条件	修炼技能需要花费秘籍经验，部分武学招式可能还需要其他的修炼条件，如能力值、感悟精通、道具需求等等。
h30404	304		消耗精力	施展该技能所需要消耗的精力，消耗越高精力的武学威力通常也越强，也有会一次耗尽剩余所有精力产生巨大伤害的强大武学。
h30405	304		消耗内力	施展该技能所需要消耗的内力，消耗越高内力的武学威力通常也越强，也有会一次耗尽剩余所有内力产生巨大伤害的强大武学。
h30406	304		基础伤害	该技能的基础伤害数值，但最后呈现的伤害数值还需要搭配双方内功差距、武学数值、减伤能力与感悟效果计算才产生。
h30407	304		攻击范围	主要分为敌我双方，敌人通常都是带有攻击性的技能，我方则可分为自我强化或辅助队友两种类型。
h30408	304		有效距离	随着兵刃、武学与感悟的不同，技能施展范围也有所差异，但范围性的伤害技能会随着范围内敌人的数量而递减威力，所以一味的使用大范围技能并不一定是最好的战略方针。
h30409	304		附带效果	每种兵刃与武学对应的附带效果都有所不同，修习巧感悟的角色则在迭加附带效果上会有更好的表现。
h40101	401		感悟机制	每个角色的初始感悟取决于一开始创角时问卷所做的选择，一旦决定了初始感悟类型后，玩家必须照着感悟树的顺序并在该感悟投资到一定点数才能去领悟相邻两系的感悟，在单一感悟投资点数越多，该感悟的效果与威力也越强。
h40201	402	TalentTree/Img_TalentTree_Hard.png	刚感悟	刚感悟能带来的特技是「暴击」，发动时可以造成敌人大量的伤害，适合喜欢暴力输出的玩家。
h40202	402	TalentTree/Img_TalentTree_Soft.png	柔感悟	柔感悟能带来的特技是「卸劲」，发动时可以减免来自敌人的大量伤害，同时柔感悟也会制造较多的仇恨值，适合喜欢担任坦克的玩家。
h40203	402	TalentTree/Img_TalentTree_Fast.png	动感悟	动感悟能带来的特技是「连击」，发动时可以恢复大量的精力，让玩家在战斗中得以进行更多的行为，适合喜欢灵活在战场上穿梭的玩家。
h40204	402	TalentTree/Img_TalentTree_Slow.png	静感悟	静感悟能带来的特技是「反击」，发动时可以自动对敌人发动反击技能伤害，适合喜欢布阵谋略的玩家。
h40205	402	TalentTree/Img_TalentTree_Clever.png	巧感悟	巧感悟能带来的特技是「虚招」，发动时可以造成敌人的大量负面状态，适合喜欢控场并玩弄对手的玩家，此外，巧感悟会让玩家拥有更好的资质，能在经验值的获取上更加轻松。
h40206	402	TalentTree/Img_TalentTree_Simple.png	拙感悟	拙感悟不会带来任何特技，但可以提升玩家的基础体魄、内功与施展武学招式的距离，也能避免敌人其他特技的发动，适合喜欢追求自身基础能力强化的玩家。
h50101	501		世界地图	游戏地图可以查看玩家当前的位置，也可以看到各区域和村庄的所在位置，可以由Tab选单中选择，或使用快捷键(预设M)开启地图。
h50102	501		地图卷动	在任务接口，使用鼠标拖曳可以卷动地图，若使用键盘或游戏手把操作时，也能够控制地图的卷动。
h50103	501		地图缩放	在任务接口，鼠标滚轮、键盘PageUp与PageDown，以及游戏手把的LT、RT等按键，可以缩放地图的比例尺，让地图检视更加方便。
h50104	501		标记地点	在任务接口，鼠标右键可以任意在地图上标记地点做为记号，标记后的记号也会在方位条或是小地图上显示。
h50105	501		地图边界	若不慎闯入世界的边界之外，则会提醒玩家另寻他径。
h50201	502		任务列表	在任务接口可以查看当任务与细节，包含进行中主线、进行中支线、已完成任务与失败的任务，点击分类标题可以展开或缩起任务列表，选择任务时可以看到该任务的细节以及任务进行的阶段。
h50202	502		任务难度分级	玩家接取到的任务会以白色(简单)、橘色(普通)、红色(困难)进行分级，方便玩家辨识任务的难易度。
h50203	502		进行中主线	列出玩家接取到的主线任务列表。
h50204	502		进行中支线	列出玩家接取到的支线任务列表。
h50205	502		已完成的任务	列出玩家已经完成的任务列表。
h50206	502		失败的任务	列出玩家失败的任务列表。
h50207	502		任务标示	部份进行中的任务会在地图上有地点提示，以黄色问号显示，但并非所有的任务都会提示地点，追踪中的任务会已绿色旗帜标示之。
h50208	502		任务追踪	在任务列表点击任务，可以追踪该任务，会呈现在追踪的任务列表中。若该任务有地点提示，也会将地图卷动置该位置方便玩家辨认。
h50209	502		限时任务	有些任务会有时间的限制，若在时间内没有完成，可能会导致任务失败。部份任务也与日夜变化相互影响，需要在对应的时间才能完成。
h50301	503		马夫	玩家可以在部份地区或是村庄中找到马夫，马夫可以快速地送玩家到其他区域，但前提是只能传送到玩家去过的区域。
h50302	503		传送点	传送的地图中可以传送到对应地区，若要解锁新地区的传送点功能，则必须先拜访该地区才可以。
h50303	503		传送机制	传送到其他区域不收取任何费用，也不需要耗费游戏时间，适合长途跋涉的玩家使用，不过可能会错过旅途中美丽的风景。
h50401	504		定位辅助	玩家可以自由选择定位辅助的工具，在环境设定中可以依照喜好来选择使用方位条或是小地图来辅助定位，不过一次只能选择一种。
h50402	504		方位条	方位条会显示在游戏接口的上方，除了标示方位之外，也会显示区域、任务、标记地点等信息，指引玩家正确的方位与距离。
h50403	504		小地图	小地图会显示在游戏接口的右上方，可以看到玩家所在的位置与周遭的环境，任务、标记地点等信息也会在地图上有所指引。
h60101	601		战斗模式	本游戏的战斗机制为回合制时序战斗，每个战斗单位含有行动点数(AP)，各单位消耗各自的行动点数执行战斗指令，直到达成胜利条件或失败条件为止，才会结束战斗。
h60102	601		回合时序制	依照战斗接口上方的顺序由左至右轮流操作，排序的规则是依照各角色的能力，一旦行动点数完全消耗，就会自动结束该单位在此回合的行动，玩家亦可以利用休息操作强制结束该单位的行动。
h60103	601		时序改变	部份技能可能含有能够改变时序的效果，例如击退时序能将受击单位的顺序往后推，晕眩效果有机会使该单位在该回合无法操作，有些能获得增益效果的技能也可能让玩家取得下一回合的先手机会。
h60104	601	Battle2/Img_battle_AP4.png	行动点数(AP)	行动点数为每个战斗单位执行战斗指令的允许值，包含移动、攻击、使用道具、更换武器等行为均会消耗行动点数，每个单位的初始点数以及每回合回复量，皆受到角色自身的能力值所影响，部份减益效果也会造成行动点数的变化。
h60105	601	Compass/Img_Tagged.png	移动	轮到每个单位操作时默认会处于等待移动的状态，玩家可以利用鼠标、键盘或游戏手把选择要移动到的地点，移动的距离越远将会消耗越多的行动点数。战斗中没有限定角色单回合内的移动次数，可以自由移动到行动点数耗尽为止。
h60106	601	Battle2/Img_unitqueue_attack.png	攻击	攻击可以让玩家选择要攻击的目标，并造成受击单位伤害的指令，可以点击战斗接口下方的技能栏，或是按下对应的快捷键选择要施放的技能，接着选择攻击的目标来进行攻击，若玩家所剩余的行动点数小于技能所需的行动点数则无法施放。攻击指令亦没有次数限制，可以自由攻击到行动点数耗尽为止。
h60107	601	Battle2/Img_skillshortcut_item.png	使用道具	战斗接口下方的使用道具指令可以打开玩家的背包，在背包中能够使用丹药或是更换武器，各项操作需要耗不同数量的行动点数。部份战斗可能会有使用丹药的次数限制，甚至是禁止使用等规则。
h60108	601	Battle2/Img_skillshortcut_skill.png	更换快捷	战斗接口下方的更换快捷指令可以打开玩家已修练武功列表，来更换快捷键上的技能设定，且不需要消耗行动点数，玩家可以依照各自喜好调整技能快捷栏上的技能顺序。
h60109	601	Battle2/Img_skillshortcut_watting.png	等待	战斗接口下方的等待指令，可以让目前战斗单位的时序延后操作，此操作会消耗行动点数，但回合结束后该单位会回归到原先的时序位置。
h60110	601	Battle2/Img_skillshortcut_reset.png	休息	战斗接口下方的休息指令，能强制该单位结束此回合的操作。
h60201	602		特技值	特技值是指角色在战斗中累积特殊能力的机率值后自动发动效果的操作，如爆击、连击、反击、卸劲、虚招等。
h60202	602	Battle2/Img_unitcontrol_critical.png	爆击	爆击发动时，能使输出的伤害值加乘一定的倍率，使受击单位承受更高的伤害值。
h60203	602	Battle2/Img_unitcontrol_combo.png	连击	连击发动时，能让施放技能者回复消耗的行动点数，使该单位能够再次执行更多的指令。
h60204	602	Battle2/Img_unitcontrol_CA.png	反击	反击是单位受到伤害时依照机率发动，发动时会自动回击攻击自己的对象。
h60205	602	Battle2/Img_unitcontrol_release.png	卸劲	卸劲是单位受到伤害时依照机率发动，发动时会减少自身受到的伤害值。
h60206	602	Battle2/Img_unitconrol_trick.png	虚招	虚招发动时，会随机附加受击单位负面状态。
h60301	603		减益状态	减益状态为战斗中被对方附加、或是使用部分药品产生的副作用，累积过高的减益效果会使玩家能力降低、无法移动等，可以服用对应的药物或食物解除或减缓之。
h60302	603	Battle2/Img_buffer_Injured.png	内伤	每次施展招式时都会损失气血，数值越高效果也越显著。
h60303	603	Battle2/Img_buffer_Wounded.png	外伤	每回合损失气血，数值越高效果也越显著。
h60304	603	Battle2/Img_buffer_Poisoned.png	中毒	每回合损失内力，同时会降低角色的攻击力与减伤效果，超过50点时会降低每回合能回复的精力。
h60305	603	Battle2/Img_buffer_Sealed.png	封穴	降低每回合能恢复的精力，数值越高效果也越显著。
h60306	603	Battle2/Img_buffer_Confused.png	迷惑	降低减伤的能力，超过50点时会无法施展卸劲。
h60307	603	Battle2/Img_buffer_Dazed.png	晕眩	有机率会跳过战斗回合，数值越高越容易发动，超过50点以上会无法施展反击。
h60308	603	Battle2/Img_buffer_Cramped.png	分筋	降低角色的移动力，超过50点时会无法发动连击。
h60309	603	Battle2/Img_buffer_Sprained.png	错骨	降低角色的攻击力，超过50点时会无法发动暴击。
h60310	603	Battle2/Img_buffer_frozen.png	冰封	降低角色的轻功、内功与每回合回复的精力值。
h60401	604		距离显示	按Alt可以打开/关闭显示鼠标到每个单位的距离
h60402	604		战斗信息卡	点左上小头像可以打开，可以知道该战斗单位的细部信息
h60403	604		角色头像	该角色的头像，头像上会显示各种正面、负面、称号效果、技能效果与战场机制状态。
h60404	604		角色基础信息	显示该角色的血量、内力与每回合能恢复的精力值。
h60405	604		角色基础武学数值	显示该角色的各项武学数值，能力越高的敌人对于该种类型的攻击也更具抵抗力。
h60406	604		感悟区	该角色拥有该感悟的话，则该感悟ICON便会亮起。
h60407	604		装备区	点击后可以得知该角色所穿着的装备与威力。
h60408	604		武学技能	该角色所拥有的武学技能。
h60409	604		特技值累积	该角色各项特技值的累积状况，可以让玩家清楚知道对方即将出招的时机。
h70101	701	Blacksmith/Img_Forged_forging.png	锻造	村庄中的铁匠可以协助玩家打造武器与装备，打造出来的武器与装备会比商人贩卖，或是野外战斗获得的道具质量更佳，有些锻造的蓝图与配方可能需要经过任务取得，或是需与铁匠培养友好度，铁匠才会愿意帮玩家打造。
h70102	701	TeamInventory/Btn_bag_06.png	锻造素材	锻造不同的武器或防具，需要的材料与数量不尽相同，使用稀有度越佳的材料，打造出来的武器和防具数值越佳，部份材料取得不易，锻造前必须多做考虑。
h70103	701	Blacksmith/Img_Forged_02.png	稀有度	若玩家提供非常稀有的材料，打造出的武器与装备的稀有度也会相对提升，玩家可以藉由不同的材料搭配，来打造更顺手的武器与更坚硬的装备。
h70104	701	Blacksmith/Img_Forged_03.png	神兵	打造某些武器或防具时，若提供特别的材料，玩家有打造出稀世神兵的可能性。
h70105	701	Main/Img_Main_Money.png	锻造费用	锻造除了需要消耗锻造素材之外，铁匠也会向玩家收取锻造费用，若使用稀有度越高的材料，费用也会跟着提高。
h70106	701	Main/Img_Main_Money.png	优惠	若玩家与铁匠的友好度很高，且完成对应的成就，铁匠会提供玩家费用上的折扣，不需要套用任何称号即可享有。
h70201	702	Blacksmith/Img_Forged_02.png	淬炼	村庄中的铁匠可以协助玩家淬炼武器，将玩家取得的投炉类物品镶嵌到武器上，藉由镶嵌不同的投炉物，能让武器发挥更强力的效果。
h70202	702	Blacksmith/Img_Forged_form.png	淬炼孔洞	并非所有的武器能够进行淬炼，必须附有淬炼孔的武器才能够淬炼，经过锻造打造出来的兵器附有淬炼孔的机率比较高，运气较佳的玩家可能打造出两个孔洞的武器。
h70203	702	Alchemy/Img_PoisonEffect.png	淬炼效果	经过淬炼的武器，可以发挥投炉物附加的特殊效果，若附加的特殊效果与该武器特性有连带关系，可能带来的伤害与效益会大幅度成长。
h70204	702	Blacksmith/Img_Forged_02.png	重复淬炼	经过淬炼而镶嵌在武器上的投炉物品是无法取下来的，不过可以利用其他的投炉物反复淬炼，更换附加的特殊效果。
h70205	702	Main/Img_Main_Money.png	淬炼费用	淬炼除了需要消耗投炉道具之外，铁匠也会向玩家收取淬炼费用，若使用稀有度越高的投炉，费用也会跟着提高。
