#ID	分类	Icon路径	Line headings	Line item explanatory text
h10402	104		Show Herbs	Press and hold the Show Herbs (default V) button to illuminate the surrounding herbs and minerals, assisting the player in gathering them more quickly! .
h10403	104		Quick Archive	When in normal operation mode, press the quick save key (preset F5) to quickly save the player's disk, the stored files. will be marked as a quick save in the save log, but the quick save has only one field and will be overwritten the next time the quick save is pressed. Please also pay special attention to the previous record.
h10404	104		Archiving/reading of files	Enable menu (ESC preset) key to find the save/read field, so that players can record the current game. Progress.
h10405	104		Escaping from a jam point	Enable the menu (preset ESC) key to find the option to escape from a jam point when the player is trapped in a terrain, Optionally, this feature can be used to help the player return to a nearby village, but please note that it is not available in some special scenarios.
h10406	104		Screenshot	Press the screen capture (default F12) key to capture and save the current screen.
h10501	105		Mates.	You can find many like-minded people in the game to have adventures with, and when your teammates join you, they can be found in the interface (default). In addition to the player himself, he can play with up to three other teammates at the same time.
h10502	105		Teammates	Some of your teammates will join you in the story, and after completing the story, you can choose to continue with them. Join the team, or find another partner to join.
h10503	105		Teammates kicked out.	If a player wants to kick a teammate off the team, he/she can select the teammate in the interface (default tab) and press kick. If a teammate is kicked off the team with the Q button, he or she will return to a specific area and wait for the player to regroup. In some scenarios, it is not possible to kick a teammate, you have to complete a series of quests to do so.
h10504	105		Teammates leaving	Each teammate has a sense of self and personality, and if the style of the player differs too much from that of the teammate, the teammate may be The player will not want to be with the player and will automatically leave the player's team.
h10505	105		Limits for teammates	Excluding the main character, the maximum number of teammates in easy and normal mode is three, and an additional fourth will be added in hard mode. A field for teammates that can travel with you, while Purgatory mode allows you to share adventures with up to five teammates.
h10601	106		Trading	NPCs in some villages can trade with the player, sell items to the player, or buy specific items from the player, When you need money to travel around the world, you can exchange the unwanted items for silver coins.
h10602	106		Merchant Preference	Merchants will have items that they like and items that they don't like, and merchants won't like items that they don't like, even if they are worth a lot of money. Trading with players.
h10603	106		Bartering.	Some merchants or NPCs treat money like dirt, so you can't trade with silver. Items go for exchange.
h10604	106		Merchant Replenishment	After the merchant has traded with the player, the merchant will replenish the goods and money after a period of time, just come back a few days later. Visit, they will supply items to sell to players.
h10701	107		Achievement System	The game contains many parts worth exploring, and the achievement system provides the player with clear objectives, allowing the player to experience the plot of the game. You can also work towards the achievement goals. Some of the achievements have time limits, and must be completed within a certain period of time, but the rewards will be relatively rich.
h10702	107		In-Game Achievements	The game contains a number of achievements, but these are only available in a single inventory, and if you start a new adventure, you'll be able to complete them. Recount.
h10703	107		Out-of-game achievements	In addition to in-game achievements, there are also achievements outside of the game, most of which are cumulative in nature and can be used as a way for players to Adventure Milestones.
h10704	107		Classification of Achievements	Achievements are very diverse, containing seven categories: General, Combat, Story, Martial Arts, Abilities, Prestige and Gathering, Players may wish to explore more of the mysteries.
h10705	107		Achievement Rewards	Players who achieve in-game achievements can do so from the main menu (preset tab) or by using the shortcut keys (preset (N) to view the achievements, many of which contain generous rewards for players to collect and make their adventures go more smoothly.
h10706	107		Hidden Achievements	Not all achievements on the game interface are available, and some will not be shown until the player achieves them, Players may wish to explore more.
h10801	108		Making Recipes	There are some simple recipes to learn in the game, such as alchemy, poisoning, cooking, etc., and players can put some of these recipes into the game. Materials are made into better items and can be viewed in the main menu (Preset Tab) or by using the shortcut key (Preset H). The recipe.
h10802	108	Alchemy/Img_Drug_Tab.png	Alchemy.	Alchemy can refine the herbs collected from the wilderness into pills, so that the recovery effect of herbs more, the player You can learn recipes from medical books and alchemy from some quests.
h10803	108	Alchemy/Img_Poison_Tab.png	Poison Art	Poison can be made from poison caught in the wild, which is consumed in some martial arts training, If you are not well versed in the art of poisoning, catching poisonous insects in the wild with your bare hands may lead to poisoning.
h10804	108	Alchemy/Img_Cook_Tab.png	Cooking	Cooking skills can turn ingredients into delicious dishes, and eating dishes can give the player a temporary boost, Many recipes are hidden in the folklore, and players can learn them by talking with NPCs.
h10901	109		Game difficulty	In the character creation questionnaire, you can choose the game difficulty, and the game content will vary depending on the difficulty you choose. Change.
h10902	109		Simple	Simple mode is suitable for newcomers to the game, where the player has a relative advantage in combat abilities, and our unit's attacks. and defense will be greatly enhanced, and will weaken the offensive and defensive abilities of enemy units.
h10903	109		Normal	Normal mode is suitable for more advanced players, the player and the enemy's abilities in battle are in the original setting.
h10904	109		Difficult	Difficult mode is suitable for those skilled in game play, with the enemy having a comparative advantage in combat abilities, our units' Attacks and defenses are weakened, and enemy units' offensive and defensive abilities are strengthened.
h10905	109		Purgatory	Purgatory mode is suitable for players who like a challenge, and the player's abilities in battle are greatly reduced, with many of the battles' The rules are also subject to change, and death of our unit during a battle will result in a battle loss.
h10906	109		Teammate Limit	Excluding the main character, the maximum number of teammates is three in easy and normal mode, and an additional fourth will be added in hard mode. A field for teammates, and up to five teammates can be adventuring with Purgatory mode.
h10907	109		Combat Limits	Combat in Purgatory difficulty mode will have a new combat limit, which will be determined if any of the combat units under our control dies. The player loses the battle.
h10908	109		Battle Play	Some of the combat gameplay in Purgatory difficulty mode may change, e.g. needing to protect certain teammates from dying. Defensive warfare, or changing the conditions for victory in certain battles, etc.
h10909	109		Rumours of the world.	Depending on the difficulty of the game, the types of rumor events and the conditions under which they occur will vary, and may even be encountered. Special river events only available on specific difficulty.
h10910	109		NPC Cutscenes	Some of the NPCs in Hard and Purgatory difficulty modes can be requested by the player (preset to the G key), The player will play one-on-one with the NPC, and when you win, you will have a certain chance to get the items on the NPC. Can only make one cut request to the same NPC.
h11001	110		Rumors of the River and Lake	Different rumors will happen randomly in the world of He Luo, players can get the rumors by asking NPCs about them. The player can also choose to ignore the action or task.
h11002	110		Encounters	Along with the rumored events, players may encounter special encounters in the world of Rivera, encounter special Characters, players can interact with them to get special rewards and more.
h11003	110		Growth Events	Along with the rumors, the player can ask about some people who have grown in martial arts attainment, or A new insight, etc.
h11004	110		Props event	Along with rumor events, players can get information about items, such as when someone gets a new item. The first time I saw this, I thought it was a good idea to get the information I needed.
h11005	110		Other Events	Rumor events and various other special events happen randomly, so you can always ask NPCs about the rivers and lakes. Rumors, keep track of the pulse of the rivers and lakes, don't miss any news of the rivers and lakes events.
h20101	201	TeamInventory/Img_bag_list06.png	Blood and Qi	Main value that affects the character's survivability in battle, set to zero and the character will leave the field.
h20102	201	TeamInventory/Img_bag_list07.png	Inner Strength	The amount of energy the character needs to use to perform all skill moves, if the character is low on internal energy, he or she will not be able to use the full power of the skill move. Might.
h20103	201	Team/Img_bag_ApIcon.png	Energy	Important values that affect a character's movement, behavior, and ability to perform moves in battle. More action can be taken in.
h20104	201	TeamInventory/Img_bag_list01.png	Qualifications	Hidden values, affects the amount of experience you can gain in each battle.
h20105	201	TeamInventory/Img_bag_list07.png	Body	Hidden value, affects the blood and qi value of the character every time upgrade.
h20106	201		Good and Evil values	Important values that determine the player's position in the world and whether or not they can trigger certain special conditional events. Performing a variety of actions can affect their development.
h20107	201		Impetuous value	Important values that determine the player's position in the world and whether or not they can trigger certain special conditional events. Performing various behaviors can affect its development.
h20108	201		Yin and Yang values	The player's internal power attribute, an important value that affects the damage effect of moves, can be changed by practicing internal power secret. Yin and Yang values. If the internal power is yang, attacking with a yang move will have an effect of adding damage; on the other hand, if you use a yin move, it will have an effect of adding damage. The damage effect will be reduced.
h20109	201		Jianghu Prestige	The player's popularity in the world is also an important reference for triggering certain special conditional events.
h20201	202	SkillTree/Img_skill_HurtType1.png	Fists	Character's ability to use kung fu, the higher the value, the more powerful it will be.
h20202	202	SkillTree/Img_skill_HurtType2.png	Sword Art	Character's ability to use Sword Technique, the higher the value, the more powerful it will be.
h20203	202	SkillTree/Img_skill_HurtType3.png	Sword Technique	Character's ability to use sword martial arts, the higher the value, the more powerful it will be.
h20204	202	SkillTree/Img_skill_HurtType4.png	Spears	Character's ability to use Spear and Baton, the higher the value, the more powerful it will be.
h20205	202	SkillTree/Img_skill_HurtType5.png	Dark Weapon	Character's ability to use secret weapon martial arts, the higher the value, the more powerful it will be.
h20206	202	SkillTree/Img_skill_HurtType6.png	Short weapon	Character's ability to use short weapons, the higher the value, the more powerful it will be.
h20207	202	Team/Btn_team_add.png	Healing Technique	Healings will be the effects and additions of the character's healing martial arts, and will affect some in-game events and happenings. Walk to.
h20208	202	Alchemy/Img_Poison_Tab.png	Toxicology	Poison will have an effect and bonus when the character performs Poison Martial Arts, and will also affect some in-game events and happenings. Walk to.
h20209	202	SkillTree/Img_skill_Neigong.png	Inner Work	Nei Kung is the foundation of the power and damage reduction of all martial arts, the better the character's Nei Kung, the better the advantage in battle.
h20210	202	SkillTree/Img_skill_Qinggong.png	Light Power	Light Power affects a character's combat sequencing, movement distance, and related martial arts perceptions. It will make the player more fast and interesting when walking on the big map, and even float on water when reaching a certain level.
h20301	203	Battle2/Img_buffer_Wounded.png	Trauma	Blood loss per round, the higher the value, the better the effect.
h20302	203	Battle2/Img_buffer_Injured.png	Internal Wounds	Every time you perform a move, you lose blood and qi, the higher the value, the greater the effect.
h20303	203	Battle2/Img_buffer_Poisoned.png	Poisoning	Each round loses internal strength, and reduces the character's attack power and damage reduction. Energy that can be replied to.
h20401	204	Team/Btn_team_01.png	Primary/Secondary Weapon.	The blades worn by players to walk around the Jianghu need to correspond to the type of martial arts they have learned in order to perform various powerful moves.
h20402	204	Team/Btn_team_02.png	Defence Equipment	Equipment that provides the character with damage reduction and special effects in battle.
h20403	204	Team/Btn_team_03.png	Accessories	Ornaments that bring about various special effects.
h20404	204	Team/Btn_team_09.png	Appearance.	Special costumes that can change the appearance of the main character, some of the costumes of the corresponding camp can trigger special events or effects.
h20405	204	TeamInventory/Img_bag_list08.png	Heavy Duty	The character's weight affects the total weight of weapons and armaments the character can equip. The better the character's physical and internal strength, the better the character's ability to carry weight.
h20501	205		Title	Only one title that a player can equip at a time due to various choices or events, and most titles have their own Different functions and features.
h20502	205		Protagonist Exclusive Title	Most of the titles you get in the game can only be equipped by the protagonist, with the characteristics and titles of your teammates to make the best! Title selection is also an interesting tactic.
h20503	205		Character Exclusive Titles	In this world, there are certain titles that can only be equipped by certain characters. Exclusive title, these titles will usually reflect their characteristics and personality.
h20504	205		Equipment Exclusive Designation	In this world, there are titles that must be equipped with certain equipment in order to have an effect, and these titles usually result in a battle of The benefits are all very impressive.
h20505	205		Corresponding Title for Good and Evil	In this world, there are titles that have different effects depending on the folly of the upright and the upright, or the prestige of the world. It's not easy to obtain and is very rare, so the effect is naturally amazing.
h20506	205		Camp Friendly Title	Most of the titles you get for establishing friendly relations with a particular camp don't require equipment to be effective, such as the various Titles from the merchant's camp do not require equipment to have a discounted effect.
h20507	205		Beast King title	The title of King of Beasts, obtained by taming the King of Beasts, allows you to bring a King of Beasts with you to battle. A high level Beastmaster will be a very powerful assistant, performing even better than your teammates in certain areas.
h30101	301		Martial Arts Mechanics	This world has quite a few martial arts secrets for players to practice, and the experience required for each is different. The more powerful or effective the martial arts are, the more experience points and perception limits they require.
h30102	301		Secret Book Experience Value	Each book has its own experience storage slot, which is not interoperable with each other. It is necessary to review the status of the secret practice in real time after each battle.
h30103	301		Distribution of Experience Points	The in-game experience distribution is built in such a way that 25% of the experience points earned are allocated to the martial arts you've studied, but you can also use the The adjustment cursor next to the martial arts book icon changes the allocation ratio to control the speed of the book, and can also be used to adjust the cursor. to reduce the overflow of secret experience values.
h30201	302	Icon/fight.png	General Martial Arts	Possessing a powerful martial art is the foundation of a martial arts master, and each martial art corresponds to its effect, range and perception. The most important step to take in the world is to research and choose your own martial arts.
h30202	302	Icon/it30714.png	Internal Martial Arts	Internal martial arts usually have powerful passive effects, so pick the most suitable internal martial arts and practice them!
h30203	302	Icon/it30807.png	Light Martial Arts	Most of the light martial arts do not have moves that deal direct damage, but they do give the player an advantage in combat. It can also improve the basic value of the player's light kung fu, allowing the player to travel around the world more easily and quickly.
h30204	302	Icon/it307.png	Limited Martial Arts	There are some martial arts that can only be practiced by a limited number of exclusive characters, and these martial arts usually have special powers or high Storytelling.
h30205	302	Icon/it308.png	Special Martial Arts	There are some martial arts that can give you a different fighting style or experience, such as the Beast King's Book, which allows you to tame the Beast King for your own use, Or poison books and medical books that can create poisons or medicines.
h30301	303		Active Skills	In battle the player must actively tap and expend the corresponding internal and energy functions.
h30302	303		Passive Skills	A skill that can produce an effect without any additional expenditure of energy and internal strength during battle.
h30303	303		Skill of cultivation	Skills that increase the value of the player's basic martial arts, there are two types: permanent boost and round boost in battle.
h30304	303		Internal Skills	Skills that increase the player's base martial arts value or increase the player's passive additions.
h30305	303		Counter-Strike skill	Skills that can be equipped in the Counterattack Martial Arts column, but only if you practice Shizen Awareness or have the corresponding Counterattack ability. Initiate a counterattack.
h30401	304		Skill Name	At the top of the skill message, the name of the skill's move will be indicated, as well as the martial arts textbook it is from.
h30402	304		Damage Type	The top right corner of the skill message will indicate the type of blade that needs to be equipped in order to perform the martial art.
h30403	304		Practicing conditions	Some martial arts moves may also require other training conditions, such as ability values. , Perception Mastery, Item Requirements, etc.
h30404	304		Consuming Energy	The more energy needed to perform this skill, the more powerful the martial arts will be, and the more energy it consumes, the more powerful the martial arts will be. A powerful martial art that uses up all remaining energy to produce massive damage.
h30405	304		Consuming Internal Energy	The more internal energy needed to perform this skill, the more powerful the martial art will be. A powerful martial art that uses up all remaining internal energy to produce massive damage.
h30406	304		Basic Damage	The base damage value of the skill, but the final damage value needs to be combined with the difference in internal power, martial arts Numerical value, damage reduction ability and perception effect are calculated to generate.
h30407	304		Attack range	Mainly divided into enemies, who usually have offensive skills, and sides, which can be classified as either self-reinforcing or Two types of auxiliary teammates.
h30408	304		Effective Distance	The range of the skill differs depending on the blade, martial art, and perception, but the ranged damage skill will... The power decreases with the number of enemies in the area, so using a wide range of skills is not always the best strategy.
h30409	304		Side Effects	Each weapon and martial art has different side effects, and characters who have practiced Kogaku no Awareness are adding side effects. It will be better on.
h40101	401		Perception Mechanism	The initial perception of each character depends on the choices made in the questionnaire at the beginning of the creation of the character, and once the initial perception is determined After the type, the player must follow the order of the tree and invest a certain number of points in that particular Goku in order to realize the Goku of the two adjacent Goku. The more points you invest in a single Sensei, the more powerful the effect and power of that Sensei will be.
h40201	402	TalentTree/Img_TalentTree_Hard.png	Just Awareness	The special ability that Gnosis can bring is "Blitz", which can deal a lot of damage to the enemy when activated. Output Player.
h40202	402	TalentTree/Img_TalentTree_Soft.png	Soft Perception	Soft Sense can bring a special ability called "Unleash", which when activated, can reduce a large amount of damage from the enemy, and at the same time, it can also be used as a "Power Off". Awareness will also create a lot of hate, so it is suitable for players who like to tank.
h40203	402	TalentTree/Img_TalentTree_Fast.png	Dynamic Awareness	Kinetic Gnosis can bring a special ability called "Combo", which when activated can restore a large amount of energy, allowing players to For those who like to move around the battlefield in a flexible manner, you can perform more actions.
h40204	402	TalentTree/Img_TalentTree_Slow.png	Quiet Insight	The special ability that Shizu Awareness can bring is "Counter Attack", which can automatically deal damage to enemies with the Counter Attack skill. Players who like to lay out their strategies.
h40205	402	TalentTree/Img_TalentTree_Clever.png	Skillful Perception	The special skill that Qiaosenshi can bring is "False Move", which can cause a lot of negative status to the enemy when activated. In addition to controlling the field and toying with the opponent's player, you will have a better qualification and can gain experience points more easily.
h40206	402	TalentTree/Img_TalentTree_Simple.png	My humble opinion	It doesn't bring any special skills, but it can increase the distance between the player's basic physical strength, internal strength and martial arts moves.
h50101	501		World Map	The game map shows the player's current location, as well as the location of areas and villages, which can be accessed from the Select from the Tab menu, or use the shortcut key (preset M) to open the map.
h50102	501		Map scrolling	On the task interface, the map can be scrolled by dragging with the mouse, or when using the keyboard or game grip. Control the map scrolling.
h50103	501		Map zoom.	In the task interface, the mouse wheel, keyboard PageUp and PageDown, as well as the game grip, you can use the mouse wheel to scroll, the keyboard PageUp and PageDown. LT, RT buttons, you can zoom the scale of the map, make the map more convenient to view.
h50104	501		Mark locations	In the task interface, you can mark any location on the map with the right mouse button, and the marked location will also be marked on the map with the right mouse button. Displayed on the map bar or mini-map.
h50105	501		Map boundaries	If you inadvertently wander beyond the world's borders, you will be reminded to find another way.
h50201	502		Quest List	In the task interface, you can view the current task with details, including ongoing mainline, ongoing branch, completed task and Failed tasks, click on the category title to expand or collapse the task list, select the task to see the details of the task and task Stages Conducted.
h50202	502		Task difficulty rating.	Quests received by the player will be graded in white (easy), orange (normal), or red (difficult), Easy for the player to identify the difficulty of the mission.
h50203	502		Ongoing Mainline	Lists the main quests that the player has received.
h50204	502		Ongoing branch lines	Lists the list of branching quests that the player has received.
h50205	502		Completed Quests.	Lists the tasks that the player has completed.
h50206	502		Failed Missions	List of quests that the player has failed.
h50207	502		Mission marker.	Some ongoing tasks will have a location on the map, indicated by a yellow question mark, but not all. The location will be prompted, and the quests being tracked will be marked with a green flag.
h50208	502		Quest Tracking	Clicking on a quest in the quest list will track that quest, and it will be shown in the list of quests tracked. If the quest has a location hint, the map will also be scrolled to that location for the player to identify.
h50209	502		Time-bound quests	Some tasks are time-bound and failure to complete them within the time limit may result in failure. Some of the tasks also interact with day and night changes, and need to be completed at the corresponding time.
h50301	503		Horseman.	The player can find horsemen in some areas or villages, who can quickly transport the player to other areas, but The premise is that you can only teleport to areas where the player has been.
h50302	503		Teleportation Points	It is possible to teleport to the corresponding region on the teleported map. Only available in that area.
h50303	503		Transmission mechanism	Teleporting to other areas is free of charge and takes no time to play, and is suitable for players who travel long distances. Use it, but you may miss the beautiful scenery on your trip.
h50401	504		Location assistance	Players are free to choose the tools they want to use to aid in positioning, and the environment can be set up in such a way that the orientation bar can be used according to preference. or a mini-map to aid in positioning, but only one can be selected at a time.
h50402	504		Azimuth bar	The orientation bar will be displayed above the game interface, not only indicating orientation, but also areas, tasks, and markers. Location and other information to guide the player to the correct location and distance.
h50403	504		Mini Map	The mini-map will be displayed on the top right of the game interface, showing the player's location and surroundings, tasks, and the game interface. The map is also guided by information such as the location and marker locations.
h60101	601		Battle Mode	The game's combat system is turn-based chronological combat, where each combat unit contains action points (AP). The battle will not end until either the victory condition or the defeat condition is fulfilled, after each unit consumes its own action points to execute battle commands.
h60102	601		Turn Timing System	Rotate from left to right according to the order at the top of the combat port, with the sorting rules being based on each character's ability, Once the action points are used up, it will automatically end the unit's actions this turn, or the player can use the rest action to force the unit to end. The unit's action.
h60103	601		Timing change	Some skills may contain effects that change the timing, such as knockback timing that pushes back the order of units hit. There is a chance that the stun effect will render the unit inoperable that turn, and some skills that have a gain effect may also allow the player to get the next turn. Round's first phone will be.
h60104	601	Battle2/Img_battle_AP4.png	Action Points (AP)	Action points are the allowed value for each combat unit to execute combat commands, including movement, attack, use items, and Actions such as changing weapons consume action points. The ability value is affected by the ability, and some of the minus effects will also cause action points to change.
h60105	601	Compass/Img_Tagged.png	Movement	By default, each unit will be waiting for its turn to move, and the player can use the mouse, keyboard or the game to move it. The further you move, the more action points you gain. There is no limit to the number of times a character can move in a single turn in battle, so you can move freely until you run out of action points.
h60106	601	Battle2/Img_unitqueue_attack.png	Attack	Attack allows the player to select the target to attack and cause damage to the unit being hit. Select a skill from the skill bar below the interface, or press the corresponding shortcut key to select the skill you want to perform, and then select the target to attack, If the player has less action points than the skill requires, it cannot be used. There is no limit to the number of attack commands, so you can attack freely until you run out of action points.
h60107	601	Battle2/Img_skillshortcut_item.png	Using Items	The item command below the combat interface will open the player's backpack, which can be used for potions or Changing weapons, each action costs a different number of action points. Some battles may have rules that limit the number of times you can use potions, or even ban them.
h60108	601	Battle2/Img_skillshortcut_skill.png	Quick Change	The replace shortcut command at the bottom of the combat interface will open the list of player's trained kung fu, which can be used to replace the shortcut keys on the Skill settings, and do not need to spend action points, players can adjust the order of skills on the skill shortcut bar to their own preferences.
h60109	601	Battle2/Img_skillshortcut_watting.png	Waiting	The wait command below the combat interface allows the current combat unit's timing to be postponed. Action Points, but at the end of the turn the unit will return to its original chronological position.
h60110	601	Battle2/Img_skillshortcut_reset.png	Break.	A rest command at the bottom of the combat interface forces the unit to end its turn.
h60201	602		Stunt Value	Stunts are actions that automatically activate effects when the character accumulates special abilities in battle, such as blasts, blows, and other effects. Combos, counterattacks, unloads, virtual moves, etc.
h60202	602	Battle2/Img_unitcontrol_critical.png	Explosive Strike	When Blast is activated, it multiplies the damage output by a certain amount, so that the hit unit can take more damage.
h60203	602	Battle2/Img_unitcontrol_combo.png	Combo Attack	When a combo is initiated, it allows the caster to regain spent action points, allowing the unit to perform more... Directive.
h60204	602	Battle2/Img_unitcontrol_CA.png	Counterattack	Counterattack is launched when a unit is hit by damage, when launched, it will automatically hit back at the attacker.
h60205	602	Battle2/Img_unitcontrol_release.png	Unload	Unleash your strength when your unit takes damage, it will reduce the damage you take.
h60206	602	Battle2/Img_unitconrol_trick.png	False Move	When virtual move is activated, it will randomly attach negative status to the hit unit.
h60301	603		Reduced Benefit Status	The side effects are the side effects from the opponent's side effects or some of the drugs used in battle. The effect will reduce the player's ability, unable to move, etc., you can take the corresponding medicine or food to relieve or mitigate it.
h60302	603	Battle2/Img_buffer_Injured.png	Internal Injuries	Every time you perform a move, you lose qi and blood, the higher the value, the better the effect.
h60303	603	Battle2/Img_buffer_Wounded.png	Trauma	Blood loss per turn, the higher the value, the better the effect.
h60304	603	Battle2/Img_buffer_Poisoned.png	Poisoning	Each round, the character loses internal energy, which also reduces the character's attack and damage reduction. The energy that can be replied to by the Roundup.
h60305	603	Battle2/Img_buffer_Sealed.png	Closing Cave.	Decreases the amount of energy that can be restored per turn, the higher the value the more significant the effect.
h60306	603	Battle2/Img_buffer_Confused.png	Confusion	Decrease damage reduction ability, can't unload if 50 points are exceeded.
h60307	603	Battle2/Img_buffer_Dazed.png	Daze	There is a chance that it will skip the combat round, the higher the value, the easier it is to launch, and if it exceeds 50 points, it will not be able to launch counterattack.
h60308	603	Battle2/Img_buffer_Cramped.png	Split Tendon	Reduce the character's movement power, if it exceeds 50 points, it will not be able to launch a combo.
h60309	603	Battle2/Img_buffer_Sprained.png	Wrong Bone	Reduce character's attack power, can't attack if it exceeds 50 points.
h60310	603	Battle2/Img_buffer_frozen.png	Freeze	Decreases the character's Lightness, Inner Strength and Effort per round.
h60401	604		Distance display	Press Alt to turn on/off the display of the mouse distance to each unit.
h60402	604		Combat Information Card	Tap on the upper left avatar to open it and get detailed information about the combat unit.
h60403	604		Character Avatars	The character's avatar, which will display various positive, negative, title effects, skill effects and battlefield mechanics. Status.
h60404	604		Character Base Information	Displays the character's blood, internal strength, and the amount of energy the character can recover per round.
h60405	604		Character's basic martial arts value	Displays the character's martial arts values, the more capable the enemy is, the more resistant they are to that type of attack.
h60406	604		Perception Area	If the character has that ICON, then that ICON will light up.
h60407	604		Equipment Zone	Click on it to find out the equipment and power that the character is wearing.
h60408	604		Martial Arts Skills	The martial arts skills that the character possesses.
h60409	604		Stunt Value Accumulation.	The accumulated values of each skill can let the player know when the opponent is about to make a move.
h70101	701	Blacksmith/Img_Forged_forging.png	Forge	Blacksmiths in the villages can assist players in crafting weapons and equipment, and the weapons and equipment crafted will be more expensive than those sold by merchants. Some of the blueprints and recipes for forging may need to be obtained through quests, or may need to be fought in the field. Blacksmiths will only be willing to help players build if they cultivate friendliness.
h70102	701	TeamInventory/Btn_bag_06.png	Forging Materials	Forging different weapons or defensive equipment requires different amounts of materials, the rarer the material, the better, Some materials are not easy to obtain, so you will need to consider them before forging.
h70103	701	Blacksmith/Img_Forged_02.png	Rarity	If the player provides very rare materials, the rarity of weapons and equipment will be increased. You can mix and match different materials to create smoother weapons and tougher equipment.
h70104	701	Blacksmith/Img_Forged_03.png	Shinobi	When crafting certain weapons or defensive equipment, the player may be able to craft a rare weapon if special materials are provided.
h70105	701	Main/Img_Main_Money.png	Forging Cost	In addition to consuming forging materials, the blacksmith will also charge the player a forging fee, and the rarer the forging material, the more expensive it is. The cost of higher materials will also increase.
h70106	701	Main/Img_Main_Money.png	Preferences	The Blacksmith will offer a discount on player fees if the player is friendly with the Blacksmith and completes the corresponding achievement, No title needs to be applied to enjoy it.
h70201	702	Blacksmith/Img_Forged_02.png	Hardening.	Blacksmiths in the villages can assist the player in hardening their weapons and inlaying them with forge items obtained from the player, You can make your weapon more powerful by setting up different objects in the pitcher.
h70202	702	Blacksmith/Img_Forged_form.png	Hardening Holes	Not all weapons can be quenched, but only those with quench holes in them, forged to be quenched. There is a higher chance that a weapon will come out with a quenching hole, and the luckier player may be able to create a weapon with two holes.
h70203	702	Alchemy/Img_PoisonEffect.png	Hardening Effect	A weapon that has been hardened may have special effects attached to it, if the added effects are similar to those of the weapon. The damage and benefits that may result from the trait will grow significantly.
h70204	702	Blacksmith/Img_Forged_02.png	Repeat Hardening	Hardened and inlaid weapons cannot be removed, but can be used with other forge objects. Harden repeatedly, replacing additional special effects.
h70205	702	Main/Img_Main_Money.png	Hardening costs	Hardening will not only cost the player a cauldron item, but the blacksmith will also charge the player a hardening fee, which will increase with rarity. The higher the pitcher, the higher the cost.
h70206	702	Main/Img_Main_Money.png	Preferences	The Blacksmith will offer a discount on player fees if the player is friendly with the Blacksmith and completes the corresponding achievement, No title needs to be applied to enjoy it.
h70301	703	Blacksmith/Img_Forged_fix.png	Repair	Blacksmiths in villages can assist players in repairing worn weapons. The capacity of the machine cannot be fully utilized and must be repaired to restore it.
h70302	703	Main/Img_Main_Money.png	Cost of repairs	The Blacksmith will charge the player for repairs, and the higher the rarity of the weapon or weapon, the higher the cost of repair. .
