#ID	物品ID	强化分类(0是伤害、1是Buff、2是平均)	附加头衔	重量	耐久	伤害	初始效果	强化所需材料
rf10108c	eq10108	2	Ultimate	2	100	(Fight,190)	weapon0108_2	(it70504,1)
rf10112a	eq10112	0	True	2	75	(Fight,210)	frozen03	(it70508,1)
rf10112b	eq10112	1	Fierce	2	100	(Fight,140)	frozen12	(it70508,1)
rf10112c	eq10112	2	Ultimate	2	90	(Fight,180)	frozen06	(it70508,1)
rf10113a	eq10113	0	Truly	6	70	(Fight,250)	wounded05,weapon0113	(it70504,1)
rf10113b	eq10113	1	Fiery	6	140	(Fight,180)	wounded10,weapon0113_3	(it70504,1)
rf10113c	eq10113	2	Ultimate	6	110	(Fight,210)	wounded15,weapon0113_2	(it70504,1)
rf10114a	eq10114	0	True	2	75	(Fight,180)	weapon0114	(it70505,1)
rf10114b	eq10114	1	Fiery	2	100	(Fight,120)	weapon0114	(it70505,1)
rf10114c	eq10114	2	Ultimate	2	90	(Fight,150)	weapon0114	(it70505,1)
rf10115a	eq10115	0	True	9	90	(Fight,240)	poisoned03	(it70508,1)
rf10115b	eq10115	1	Fiery	9	130	(Fight,170)	poisoned09	(it70508,1)
rf10115c	eq10115	2	Ultimate	9	100	(Fight,200)	poisoned06	(it70508,1)
rf10333a	eq10333	0	True	10	120	(Sword,230)(TwoSword,230)(BladeSword,230)	injured06	(it70208,1)(it70209,1)
rf10333b	eq10333	1	Fiery	10	180	(Sword,170)(TwoSword,170)(BladeSword,170)	injured12	(it70208,1)(it70209,1)
rf10333c	eq10333	2	Ultimate	10	150	(Sword,200)(TwoSword,200)(BladeSword,200)	injured09	(it70208,1)(it70209,1)
rf10334a	eq10334	0	True	11	150	(Sword,240)(TwoSword,240)(BladeSword,240)	confused06	(it70110,1)
rf10334b	eq10334	1	Fiery	11	200	(Sword,180)(TwoSword,180)(BladeSword,180)	confused12	(it70110,1)
rf10334c	eq10334	2	Ultimate	11	175	(Sword,210)(TwoSword,210)(BladeSword,210)	confused09	(it70110,1)
rf10531a	eq10531	0	True	8	95	(Spear,200)	injured06	(it70208,1)(it70209,1)
rf10531b	eq10531	1	Fiery	8	130	(Spear,120)	injured18	(it70208,1)(it70209,1)
rf10531c	eq10531	2	Ultimate	8	100	(Spear,160)	injured12	(it70208,1)(it70209,1)
rf10912a	eq10912	0	True	8	95	(Short,215)(Blade,215)(TwoBlade,215)(BladeSword,215)	wounded04,weapon0912	(it70111,1)(it70104,1)
rf10912b	eq10912	1	Fiery	8	130	(Short,165)(Blade,165)(TwoBlade,165)(BladeSword,165)	wounded12,weapon0912_3	(it70111,1)(it70104,1)
rf10912c	eq10912	2	Ultimate	8	100	(Short,185)(Blade,185)(TwoBlade,185)(BladeSword,185)	wounded08,weapon0912_2	(it70111,1)(it70104,1)
