#共享	
OK	Confirmed
DifficultyWarning5	Adjust the Beast King Record：Beast King initial battle round count increased
DifficultyWarning6	
DifficultyWarning7	Select the detailed explanation button below or open the help page to see more explanations related to difficulty levels
DifficultyWarning8	If you want to switch to another difficulty level, please complete the questionnaire again and select the desired difficulty level for gameplay
DifficultyWarning9	Wish you a pleasant journey!
#按键提示对应	
KeyName_UpArrow	↑
KeyName_DownArrow	↓
KeyName_LeftArrow	←
KeyName_RightArrow	→
KeyName_Arrow	↑/↓/←/→
KeyName_NumberArrow	Digital Keypad Direction
KeyName_Alpha0	0
KeyName_Alpha1	1
KeyName_Alpha2	2
KeyName_Alpha3	3
KeyName_Alpha4	4
KeyName_Alpha5	5
KeyName_Alpha6	6
KeyName_Alpha7	7
KeyName_Alpha8	8
KeyName_Alpha9	9
KeyName_BackQuote	~
KeyName_Minus	-
KeyName_Equals	=
KeyName_Backslash	\
KeyName_LeftBracket	[
KeyName_RightBracket	]
KeyName_Semicolon	;
KeyName_Quote	'
KeyName_Comma	,
KeyName_Period	.
KeyName_LBRB	< / >
KeyName_Slash	/
KeyName_Escape	ESC
KeyName_LeftControl	LeftCtrl
KeyName_RightControl	RightCtrl
KeyName_LeftAnalogPress	Simulate a game controller
KeyName_RightAnalogPress	Right-handed joystick
KeyName_JoystickButton0	A
KeyName_JoystickButton1	B
KeyName_JoystickButton2	X
KeyName_JoystickButton3	Y
KeyName_JoystickButton4	LB
KeyName_JoystickButton5	RB
KeyDesc_Up	Move Up
KeyDesc_Down	Move down
KeyDesc_Left	Shift left/move left
KeyDesc_Right	Right/Move
KeyDesc_Arrow	Move Direction
KeyDesc_Confrim	Confirm
KeyDesc_Cancel	Cancel
KeyDesc_NumberUp	Switch Section
KeyDesc_NumberDown	Switch Block
KeyDesc_NumberLeft	Switch Left/Block
KeyDesc_NumberRight	Switch Block
KeyDesc_NumberArrow	Block Switching
KeyDesc_LB	Switch Tabs
KeyDesc_RB	Switch Tab
KeyDesc_LBRB	Switch tabs
KeyDesc_LT	Zoom in
KeyDesc_RT	Zoom In/Out
KeyDesc_DpadUp	Press the up arrow key
KeyDesc_DpadDown	Press the arrow key down
KeyDesc_DpadLeft	Left arrow key
KeyDesc_DpadRight	Right Arrow Key
KeyDesc_Main	Information Page
KeyDesc_Team	Item Interface
KeyDesc_Skill	Martial Arts Interface
KeyDesc_Talent	Insight Interface
KeyDesc_Map	Task Interface
KeyDesc_Alchemy	Recipe Interface
KeyDesc_Achievement	Achievements Interface
KeyDesc_System	System Menu
KeyDesc_SaveGame	Auto-save
KeyDesc_X	Kick out a teammate
KeyDesc_Y	Organize the backpack
KeyDesc_ShowHerb	Display Collectible Items
KeyDesc_MouseLeft	Confirm/Select
KeyDesc_MouseRight	Cancel
KeyDesc_MouseMiddle	Adjust near/far/up/down scrolling
KeyDesc_LeftAnalogPress	Simulate a game controller
KeyDesc_RightAnalogPress	Reset the camera
KeyDesc_AddSpeed	Chop sprint
KeyDesc_Jump	Leap
KeyDesc_AutoRun	Automatic running
KeyDesc_Steal	Stealth
KeyDesc_Ambush	Ambush
KeyDesc_SkillShortcut1	Shortcut Key for Skill 1
KeyDesc_SkillShortcut2	Shortcut Key for Skill 2
KeyDesc_SkillShortcut3	Skill Shortcut Key 3
KeyDesc_SkillShortcut4	Quick Access Key 4
KeyDesc_SkillShortcut5	Skills Shortcut 5
KeyDesc_SkillShortcut6	Quick Key Skill 6
KeyDesc_OpenInventory	Open Battle Pack
KeyDesc_OpenLearnedSkill	Activate Battle Skills
KeyDesc_BattleRest	Rest from battle
KeyDesc_BattleWaiting	Waiting for Battle
KeyDesc_ScreenShot	Take a screenshot
KeyDesc_ShowCursor	Show mouse
#游戏提示	
GameHint1	In the main menu, ESC menu, and in the character attributes interface at the top right corner's question mark button, you can find the game encyclopedia to conveniently look up game information
GameHint2	While exploring outdoors, pressing the V key can help you quickly find ores or herbs
GameHint3	During battle, clicking the small avatar in the top left corner can open the character combat message interface to learn more detailed information about this character
GameHint4	During battle, clicking the small avatar in the top left corner can play the character's voice dialogue and open the character's combat message interface to understand more detailed information about the character
GameHint5	Task difficulty is divided into three levels: simple (white), normal (orange), and difficult (red). Try to choose tasks that are suitable for your abilities
GameHint6	Characters can equip a primary weapon and a secondary weapon, using the unique features of different weapons to gain an advantage in battle
GameHint7	Each character has a different weight limit for equipment, and if the load exceeds the maximum value, it will reduce the character's mobility
GameHint8	Some tasks will have position hints on the map to help players identify them
GameHint9	You can choose to use a mini-map or a compass in the settings according to your preference or habit for location assistance
GameHint10	In the main menu, ESC menu, and in the interface for character attributes at the top right corner's question mark button, you can find the game encyclopedia to conveniently look up game information
GameHint11	The durability of weapons and equipment affects the attack and defense values, and you can ask a blacksmith to repair the equipment
GameHint12	Unneeded weapons and armor can be sold to merchants for silver, or dismantled by blacksmiths into small amounts of forging materials
GameHint13	Learning medical skills can refine wild-harvested herbs into elixirs, enhancing their restorative effects
GameHint14	The coachman can quickly take the player to the destination, but it must be a place you have been to before
GameHint15	Merchants have different business plans, so you cannot trade with them items they do not like
GameHint16	If you find yourself stuck in a strange place and unable to escape, try pressing the ESC switch twice to open the main menu, then observe the outcome
GameHint17	Counterattacks do not consume energy, but they will deplete more internal power
GameHint18	During combat, if your Qi is insufficient, the effectiveness will be greatly reduced
GameHint19	During battle, pressing the Alt key displays the distance between the target and the cursor to conveniently decide where to move
GameHint20	Changes in a player character's personality can affect interactions among teammates and may alter their willingness to embark on adventures together
GameHint21	Approach the NPC and hold down the F key to stealthily take items from them, but be careful not to get caught
GameHint22	During outdoor exploration, always maintain good combat readiness and pay attention to the strength of enemies
GameHint23	Using materials of higher rarity for forging can create better weapons and armor
GameHint24	In the Heluo world, there are many things for players to explore, so pay close attention to interactive objects around you
GameHint25	Learning cooking techniques allows one to prepare ingredients and make delicious food, which provides temporary beneficial effects when consumed
GameHint26	You can choose to use the Viewpoint Automatically Follows Mouse mode during gameplay based on your game habits in the environment settings page
#任务	
QuestStep	Task Steps
QuestDescTitle	Task Description
#存读档	
Save	Storage
Load	Read
Saving	Storing
Loading	Loading
LoadWhenModDifferent	The module used for saving {0} is different from the current module {1}!
Deleting	On the way to the main menu
NoFile	No stored progress has been saved
SaveTypeFast	Quick Save
SaveTypeAuto	Auto-save
SaveTypeManual	Save {0}
TotalPlayTime	Overall Game Time
DayFromBeginning	Day {0}
LoadFile	Do you want to read {0}?
OverwriteFile	Does this cover the saved record?
SaveGameMessage	Archived
LevelLabel	Level
Delete	Delete Archive
DeleteFile	Do you want to delete this saved record?
LoadingCreatePlayer	Prodigal Youth Rises
LoadingCreateScene	Wandering through mountains and rivers
LoadingCreateNpc	Behold the Crimson Dust
LoadingCreateEventCube	Play the sword and sing songs
LoadingEndState	The flower path has never been swept by a guest, and now the thatched gate is opened for you
#UI系列	
InventoryType1	Weapons
InventoryType2	Armor
InventoryType3	Secret Martial Arts Manual
InventoryType4	Dan yao
InventoryType5	Poisonous Substance
InventoryType6	Food
InventoryType7	Forging Material
InventoryType8	Various items
InventoryType1001	Herbal Medicine and Food
InventoryType1002	Collect items
InventoryType1003	Other
InventoryType1004	Equipment
UIInventoryType101	Knuckle Pads
UIInventoryType102	Sword Types
UIInventoryType103	Blade
UIInventoryType104	Spear
UIInventoryType105	Hidden Weapon Bow and Arrow
UIInventoryType106	Short Weapons
UIInventoryType201	Armor
UIInventoryType202	Jewelry
UIInventoryType203	Costume
UIInventoryType301	Elixir
UIInventoryType302	Medicinal Herbs
UIInventoryType303	Food
UIInventoryType304	Ingredients
UIInventoryType401	Poison
UIInventoryType402	Forging Material
UIInventoryType403	Tempering materials
UIInventoryType404	Fur
UIInventoryType501	Hand Combat
UIInventoryType502	Sword Arts
UIInventoryType503	Blade Arts
UIInventoryType504	Pole Technique
UIInventoryType505	Hidden Weapon Bow and Arrow
UIInventoryType506	Short Weapons
UIInventoryType507	Heart Method
UIInventoryType508	Other
UIInventoryType601	Task Item
UIInventoryType602	Miscellaneous goods
#说明分类	
HelpCatalogType1	Game Rules:
HelpCatalogType101	Operating method
HelpCatalogType102	Game time
HelpCatalogType103	Interaction
HelpCatalogType104	Convenience Feature
HelpCatalogType105	Teammate
HelpCatalogType106	Transaction
HelpCatalogType107	Accomplishment
HelpCatalogType108	Recipe
HelpCatalogType109	Game difficulty
HelpCatalogType110	Jianghu rumors
HelpCatalogType2	Character
HelpCatalogType201	General Attributes
HelpCatalogType202	Wuxia attributes
HelpCatalogType203	Negative Attributes
HelpCatalogType204	Equipment
HelpCatalogType205	Titles
HelpCatalogType3	Wuxia
HelpCatalogType301	Wuxia Explanation
HelpCatalogType302	Ancient Scroll
HelpCatalogType303	Skills Type
HelpCatalogType304	Skills Information
HelpCatalogType4	Insight
HelpCatalogType401	Insight explanation
HelpCatalogType402	Understanding Classification
HelpCatalogType5	Task Map
HelpCatalogType501	Map
HelpCatalogType502	Task
HelpCatalogType503	Teleportation
HelpCatalogType504	Positional Assistance
HelpCatalogType6	Combat
HelpCatalogType601	Battle Description
HelpCatalogType602	Special Skills Value
HelpCatalogType603	Debuff
HelpCatalogType604	Combat Support
HelpCatalogType7	Forging System
HelpCatalogType701	Forging
HelpCatalogType702	Tempering
HelpCatalogType703	Repair
HelpCatalogType704	Disassemble
HelpCatalogType705	Reforge
HelpCatalogType8	Item
HelpCatalogType801	Weapons
HelpCatalogType802	Armor
HelpCatalogType803	Elixir and Food
HelpCatalogType804	Poison
HelpCatalogType805	Forging/Tempering Materials
HelpCatalogType806	Other items
#接口名称	
UICompass	Compass
UIMinimap	Mini Map
UITrackedQuest	Task Tracking
#创角界面	
UICreateEnterText	Before entering the world of Hetu Luoshu, there are some questions that need your answer!<br>Are you ready?
UICreateClickToContinue	Click to continue
UICreateQuestNo	Question
UICreateInvestigateTitle	Please disregard reality and choose what you most deeply long for in your heart
UICreateNext	Next Page
UICreateError1	There are still fields that have not been answered
UICreateRenameTitle	Finally, please choose a resonant and well-known name for yourself in this Wuxia world
UICreateNameText	Character Names
UICreateIllegalName	The name contains illegal strings!
UICreateAnalyzeTitle	Analysis in progress....
UICreateRename	Change your name
UICreateReinvestigate	Redo the questionnaire
UICreateRandomProperty	Re-roll value
UICreateStartGame	Start game
UICreateMessage01	Are you sure you want to redo the questionnaire? It will re-analyze your traits and provide suitable results. Are you willing to discard the current results?
UICreateMessage02	Would you like to enter the Heluo world and embark on an adventure in the capacity of {0}?
UICreateMessage03	This name has already been used by other players!
#Main界面	
UIMainTabInventory	Item
UIMainTabSkill	Wuxia
UIMainTabTalent	Insight
UIMainTabQuestMap	Task
UIMainTabAlchemy	Recipe
UIMainTabRest	Rest
UIMainTabAchievement	Accomplishment
#队伍接口(物品接口)	
UITeamLevelLabel	Level
UITeamExpLabel	Experience
UITeamNoNickname	Without a title
UITeamWeightLabel	Equipment Total Weight
UITeamEquipColumn0	Main weapon
UITeamEquipColumn1	Secondary weapon
UITeamEquipColumn2	Armor
UITeamEquipColumn3	Jewelry
UITeamEquipColumn4	Costume
UITeamPersonality1	Personality
UITeamPersonality2	Evil
UITeamPersonality3	Good
UITeamPersonality4	Calm
UITeamPersonality5	Wild
UITeamPersonality6	Yin
UITeamPersonality7	Yang
UITeamSkillProperty	Wuxia
UITeamTalentName	Insight
UITeamResidual	Remaining {0} hours
UITeamDuration	Held for {0} hours
#炼金接口(生产接口)	
UIAlchemyTabDrug	Alchemical Elixir Preparation
UIAlchemyTabPoison	Poisonous Arts
UIAlchemyTabCook	Cooking
UIAlchemyTabForge	Forging
UIAlchemyButtonDrug	Alchemical work begins
UIAlchemyButtonPoison	Begin making poison
UIAlchemyButtonCook1	Preparation begins
UIAlchemyButtonCook2	Please find the culinary master to prepare
UIAlchemyButtonForge1	Forging begins
UIAlchemyButtonForge2	Please find a master blacksmith to make it
UIAlchemyEffectTitle1	Effectiveness when consumed
UIAlchemyEffectTitle2	Effectiveness
UIAlchemyEffectTitle3	Damage effect
UIAlchemyTip1	Done
UIAlchemyNotEnough	Insufficient materials
UIAlchemyMaterialTitle	Material Requirements
UIAlchemyNoEffect	No effect
#方位条界面	
UICompassDirection1	East
UICompassDirection2	West
UICompassDirection3	South
UICompassDirection4	North
DirectionUnit	Direction
AreaNone	Outdoors
AreaNear	Nearby
#休息界面	
UIRestTimeTitle	Now time
UIRestRestTitle	Rest Time
UIRestRestUnit	Hours
UIRestDialogTitle	Rest
UIRestDialog	Do you need to rest for {0} hours until {1}?
UIRestDialogError	There are not enough rest items!
#地图接口(任务接口)	
UIQuestMapTab0	Engaged in the main storyline
UIQuestMapTab1	Active Sub-Quest
UIQuestMapTab2	Task completed
UIQuestMapTab3	Failed Mission
UIQuestMapCellNew	New
#传送界面	
UITransferTitle	Teleportation
UITransferMessage	Is there a transmission to?
#系统接口	
UISystemContinue	Continue the game
UISystemSave	Store game
UISystemLoad	Play Game
UISystemEnvironment	Setting
UISystemKeys	Key configuration
UISystemEscape	Escape at a critical point
UISystemAchievement	Accomplishment List
UISystemReturn	Return to Main Menu
UISystemExit	Leave the game
UISystemHelp	Game Encyclopedia
UITitleNewGame	Embarking on the wulin journey
UITitleLoad	Once again, battle the world
UITitleMod	Module Selection
UITitleModText	The current module:He Luo Quan Xiao Zhuan
UIModTitle	Module
#环境设定接口	
UISettingTitle	Setting
SettingGroup0	Video Settings
SettingGroup1	Sounds
SettingGroup2	Operate
SettingGroup3	Game
SettingGroup4	3D Vision
UISettingWindow	Screen Setting
UISettingWindowState	View Mode
UISettingWindowState0	Fullscreen
UISettingWindowState1	Windowing
UISettingWindowSize	Resolution
UIGraphicsSettingGeneral	General Setting
UIGraphicsSettingPlayerIK	Protagonist sticks to the floor
UIGraphicsSettingCullingDistanceMultiplier	Visibility range
UIGraphicsSettingShadowEnabled	Shadow
UIGraphicsSettingShadowDistance	Shadow Distance
UIGraphicsSettingVSync	Vertical synchronization
UIGraphicsSettingSkyDomeSetting	Sky
UIGraphicsSettingVolumeLighting	Light beam
UIGraphicsSettingGlobalParticleEmissionRates	Particle Density
UIGraphicsSettingAmbientQuality	Environmental Light Quality
UIGraphicsSettingCloudsQuality	Cloud Layer Quality
UIGraphicsSettingResolution	Volume and Brightness Resolution
UIGraphicsSettingPostProcessingSetting	Visual Effects
UIGraphicsSettingOcclusion	Light Obstruction
UIGraphicsSettingBeautify	Color difference
UIGraphicsSettingLensDirt	The camera flashes
UIGraphicsSettingScreenSpaceShadow	Shadow Enhancement
UIGraphicsSettingBloom	High light
UIGraphicsSettingEyeAdaptation	Adaptation to Light
UIGraphicsSettingAntiAliasing	Anti-aliasing
UIGraphicsSettingPostProcessVolume	Dynamic Blur
UIGraphicsSettingPerspectiveCamera	Deep Photography Camera
UIGraphicsSettingVegetationSetting	Vegetation
UIGraphicsSettingPackage	Aptitude
UIGraphicsSettingVisibleDistance	Visible distance
UIGraphicsSettingFarVegetations	Vegetation in the Distance
UIGraphicsSettingDensity	Density
UIGraphicsSettingTreeDensity	Tree Density
UIGraphicsSettingLevel	Image Quality
UIGraphicsSettingLevelFastest	Quickest
UIGraphicsSettingLevelFast	Quickly
UIGraphicsSettingLevelSimple	Basic
UIGraphicsSettingLevelGood	Good
UIGraphicsSettingLevelBeautiful	High Quality
UIGraphicsSettingLevelFantastic	Max Quality
UIGraphicsSettingLevelCustom	Customized
UIGraphicsSettingVolumtericResolutionFull	High
UIGraphicsSettingVolumtericResolutionHalf	Medium
UIGraphicsSettingVolumtericResolutionQuarter	Low
UIGraphicsSettingVegetationPackageHigh	High
UIGraphicsSettingVegetationPackageMid	Medium
UIGraphicsSettingVegetationPackageLow	Low
UIGraphicsSettingBinaryQualityLow	Low
UIGraphicsSettingBinaryQualityHigh	High
UIGraphicsSettingAntiAliasingNone	Close
UIGraphicsSettingAntiAliasingLow	Low
UIGraphicsSettingAntiAliasingHigh	High
UIGraphicsSettingSaveNotice	This setting will only take effect after restarting the game
UISettingME	Sounds
UISettingBGM	Background Music
UISettingAmbient	Background music
UISettingVoice	Speech
UISettingVolume	Volume
UISettingUI	Interface
UISettingTalk	Dialogue Audio
UISettingFootStep	Footstep sound effects
UISettingSwitch	Switch
UISettingMapPlayerPosition	Display the character's current coordinates
UISettingMapQuestIcon	Display task location markers
UISettingMsg1	Would you like to save the current {0} settings?
UISettingMsg2	Do you want to discard the current {0} settings and return to the default configuration?
UICameraSetting	Camera Operation
UICameraSettingSpeed	Field of View Movement Speed
UICameraSettingHorizontal	Move the perspective in a horizontally opposite direction
UICameraSettingVertical	Reverse the vertical perspective
UICameraSettingFollowCursor	Camera auto-follows the mouse cursor
UIDelayLoading	Map and character loading delay
#热键设定接口	
UIHotkeyTitle	Key configuration
UIHotkeyDefault	Apply Defaults
UIHotkeySave	Apply
UIHotkeyInputMode1	Keyboard
UIHotkeyInputMode2	Controller
UIHotkeyNormalGroup	Move Key/Operation Key
UIHotkeyFunctionGroup	Function key
UIHotkeyUIGroup	Interface shortcuts
UIHotkeyBattleGroup	Combat Quick Keys
UIHotkeyHintText	Press the key you want to change
UIHotkeyHintSuccess	Key switch successful
UIHotkeyHintFailed0	Do not allow the mouse button configuration to be changed
UIHotkeyHintFailed1	Key has been defined for a special purpose, please set another key
UIHotkeyHintExchange	Has the button {0} been set to {1}? Do you want to swap the button configuration?
UIHotkeyMsg1	Should the current key settings be saved?
UIHotkeyMsg2	Are you going to discard the current key settings and revert to the default key settings?
#交易接口	
UIStoreTransactionTitle	Trading Goods
UIStoreChangeTitle	Exchange items
UIStoreMoneyHave	Owned:
UIStoreTransaction	Confirm transaction
